HD     simbad_parallax simbad_parallax_source MV     B_V   simbad_SpType
99104  07.30           2018yCat.1345....0G    -00.57 -0.08 B5IV
99787  15.33           2007A&A...474..653V    +01.24 +0.01 A2V
100493 08.46           2007A&A...474..653V    +00.03 +0.12 A2IV/V
100518 09.72           2007A&A...474..653V    +01.49 +0.18 kA2hA5IIImA6
100600 01.72           2007A&A...474..653V    -02.87 -0.16 B6.6(IV)+B3.7(V)
100808 13.97           2007A&A...474..653V    +01.53 +0.23 A8
100893 08.96           2007A&A...474..653V    +00.50 +1.02 K0III
102647 90.91           2007A&A...474..653V    +01.93 +0.09 A3Va
103192 10.53           2007A&A...474..653V    -00.61 -0.10 kB8hB8HeA0VSi
104827 09.90           2007A&A...474..653V    +00.85 +0.22 F0IV-V
105686 10.12           2007A&A...474..653V    +01.20 +0.03 A0V
106257 07.79           2007A&A...474..653V    +00.79 +0.08 A0IV
106321 05.71           2007A&A...474..653V    -00.91 +1.43 K3III
106612 14.37           2007A&A...474..653V    +02.33 +0.45 F5/6V
106625 21.23           2007A&A...474..653V    -00.78 -0.11 B8III
108007 11.08           2007A&A...474..653V    +01.64 +0.27 A9V(n)kF2mF0
108799 40.57           2007A&A...474..653V    +04.39 +0.56 G1/2V
109857 05.73           2007A&A...474..653V    +00.28 +0.08 B8Vn
110879 09.55           2007A&A...474..653V    -02.05 -0.18 B2V+B3V
111123 11.71           2007A&A...474..653V    -03.41 -0.23 B1IV
111482 09.27           2007A&A...474..653V    +00.30 +1.02 K0III
112033 11.52           2007A&A...474..653V    +00.21 +0.90 G7III+F:
112486 11.54           2007A&A...474..653V    +01.13 +0.19 kA2hA8mA7+F5/7IV/V
113139 39.30           2007A&A...474..653V    +02.90 +0.36 F2V
113415 35.45           2007A&A...474..653V    +03.33 +0.56 F8.5V
113459 06.45           2007A&A...474..653V    +00.64 +0.29 A9IV
113848 20.13           2007A&A...474..653V    +02.51 +0.39 F4V
114576 09.04           2007A&A...474..653V    +01.28 +0.19 A5V
115995 07.38           2007A&A...474..653V    +00.60 +0.10 A1V
116197 03.30           2007A&A...474..653V    -01.25 +0.18 A4V
116658 13.06           2007A&A...474..653V    -03.44 -0.23 B1V
117440 03.60           2007A&A...474..653V    -03.34 +1.17 G8II/III
118623 16.42           2007A&A...474..653V    +00.90 +0.23 A7III+A8V:
118716 07.63           2007A&A...474..653V    -03.29 -0.22 B1III
118741 02.30           2007A&A...474..653V    -01.71 +1.55 M2.5II
118991 12.02           2007A&A...474..653V    +00.41 -0.05 B8.5Vn+A2.5Va
120987 19.13           2007A&A...474..653V    +01.95 +0.44 F3V
121263 08.54           2007A&A...474..653V    -02.79 -0.22 B2.5IV
121325 30.23           2007A&A...474..653V    +03.59 +0.53 F7/8V
121336 07.15           2007A&A...474..653V    +00.41 +0.07 A1V
122451 08.32           2007A&A...474..653V    -04.79 -0.23 B1III
122510 26.20           2007A&A...474..653V    +03.27 +0.48 F5V
123139 55.45           2007A&A...474..653V    +00.78 +1.01 K0-IIIb
124897 88.83           2007A&A...474..653V    -00.30 +1.23 K1.5IIIFe-0.5
125040 30.65           2007A&A...474..653V    +03.68 +0.49 F8V
126862 13.15           2007A&A...474..653V    +01.42 +1.00 K1III
127972 10.67           2007A&A...474..653V    -02.55 -0.19 B2Ve
128266 02.39           2007A&A...474..653V    -02.70 +1.01 G8III
129161 02.83           2007A&A...474..653V    -01.37 -0.09 B8V
130458 09.90           2007A&A...474..653V    +00.58 +0.82 G7III
130559 13.71           2007A&A...474..653V    +01.00 +0.07 ApSrEuCr
130603 11.81           2007A&A...474..653V    +01.50 +0.48 F4V
131041 14.58           2007A&A...474..653V    +01.51 +0.47 F8V+F7V
131156 148.98          2007A&A...474..653V    +05.42 +0.76 G7Ve+K5Ve
131473 20.99           2007A&A...474..653V    +03.01 +0.57 F4IV+G1IV
131657 05.91           2007A&A...474..653V    -00.50 -0.04 B9V
131873 24.91           2007A&A...474..653V    -00.94 +1.47 K4-III
132219 08.84           2007A&A...474..653V    +00.38 +0.24 A5/7IV
133640 79.95           2007A&A...474..653V    +04.27 +0.65 G0Vn
135737 03.26           2007A&A...474..653V    -01.15 -0.09 B2V
138690 07.75           2007A&A...474..653V    -02.77 -0.20 B2IV
138749 08.69           2007A&A...474..653V    -01.16 -0.13 B6Vnne
138769 07.62           2007A&A...474..653V    -01.05 -0.18 B3V
138905 19.99           2007A&A...474..653V    +00.41 +1.01 G8.5III
140159 17.16           2007A&A...474..653V    +00.69 +0.04 A1V
140285 06.95           2007A&A...474..653V    +00.15 +0.00 A0V+B
140438 02.63           2018yCat.1345....0G    -01.42 +0.86 G5III
141913 02.37           2007A&A...474..653V    -01.98 +0.10 B9II
142049 19.51           2007A&A...474..653V    +02.22 +0.35 G5II/III+A3
142114 06.49           2007A&A...474..653V    -01.35 -0.07 B2.5Vn
143275 06.64           2007A&A...474..653V    -03.57 -0.12 B0.3IV
145483 10.75           2007A&A...474..653V    +00.83 +0.01 B9V
145976 13.65           2007A&A...474..653V    +02.18 +0.39 F3V
147547 16.93           2007A&A...474..653V    -00.11 +0.27 A9IIIbn
148374 06.34           2018yCat.1345....0G    -00.32 +0.96 G8III
148478 05.89           2007A&A...474..653V    -05.19 +1.83 M1.5Iab+B2Vn
148857 18.84           2007A&A...474..653V    +00.20 +0.01 A1IV
150680 93.32           2007A&A...474..653V    +02.66 +0.65 G0IV
150798 08.35           2007A&A...474..653V    -03.47 +1.44 K2III_Ba1
151101 04.55           2020yCat.1350....0G    -01.88 +1.22 K0IIICN-0.5CH-2Ca1
151566 06.19           2007A&A...474..653V    +00.43 +0.31 F0IV/V
152107 18.10           2007A&A...474..653V    +01.11 +0.09 A1VpSiSrCr
152786 06.71           2007A&A...474..653V    -02.74 +1.60 K3III
152849 08.66           2018yCat.1345....0G    +00.27 -0.02 A0V
153221 09.36           2007A&A...474..653V    +00.86 +0.88 G8/K0III+G
153697 14.30           2007A&A...474..653V    +02.19 +0.38 F2.2V
153914 08.25           2007A&A...474..653V    +00.91 +0.09 A4V
155125 36.91           2007A&A...474..653V    +00.27 +0.06 A2IV-V
156717 08.68           2007A&A...474..653V    +00.71 +0.04 A0V
157246 02.93           2007A&A...474..653V    -04.33 -0.13 B1Ib
157661 05.13           2007A&A...474..653V    -01.16 -0.07 B8V+B9V
158408 05.66           2007A&A...474..653V    -03.55 -0.22 B2IV
158926 05.71           2007A&A...474..653V    -04.59 -0.22 B2IV+DA7.9
159181 08.58           2007A&A...474..653V    -02.54 +0.98 G2Ib-IIa
159532 10.86           2007A&A...474..653V    -02.95 +0.40 F1III
159964 23.04           2007A&A...474..653V    +03.30 +0.48 F7V
162587 03.96           2007A&A...474..653V    -01.41 +1.14 K3III
163433 07.89           2007A&A...474..653V    +00.78 +0.01 A0IV/V
164058 21.14           2007A&A...474..653V    -01.14 +1.52 K5III
165341 196.72          2007A&A...474..653V    +05.50 +0.86 K0-V
166393 09.85           2007A&A...474..653V    +01.33 +0.16 A2V
169022 22.76           2007A&A...474..653V    -01.36 -0.03 B9IVp_lB?
169493 07.49           2007A&A...474..653V    +00.52 +0.37 F2V
169718 08.51           2007A&A...474..653V    +00.92 +0.05 A2Vn
170073 17.71           2007A&A...474..653V    +01.22 +0.08 A1V+F5V
171745 06.93           2007A&A...474..653V    -00.19 +1.00 G8III
171746 30.41           2007A&A...474..653V    +03.63 +0.53 F8V
172167 130.23          2007A&A...474..653V    +00.60 +0.00 A0Va
172881 04.63           2007A&A...474..653V    -00.61 +0.00 B9.5IV/V
173495 05.30           2007A&A...474..653V    -00.55 +0.04 A1V+A2V
173949 08.55           2018yCat.1345....0G    +00.65 +0.96 G7IV
175191 14.32           2007A&A...474..653V    -02.20 -0.22 B2.5V
