designation,HD,HIP,ra,declination,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,Mg,Mg_error,MRp,MRp_error,Bp_minus_Rp
Gaia DR3 3011223668834627328,\N,\N,88.679,-10.589940613821533,65.40972622036443,0.023127515,165.76367,-64.17766791295958,-152.83592445437642,1.0526699,14.851106,15.063052,14.489493,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.929317656741176,0.0007677873875646,13.567704656741174,0.0007677873875646,0.573559
Gaia DR3 2495751967528809216,\N,\N,41.6293,-2.458695833517717,46.574159696518166,0.04863914,538.3508,222.4430494014183,-490.24553177000143,1.0265948,15.412689,15.623271,15.051178,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.753414139907164,0.0022677508218755,13.391903139907164,0.0022677508218755,0.572093
Gaia DR3 3186021141200137472,\N,\N,69.4486,-8.826516218606763,106.33898970249588,0.015222114,1570.6038,238.38098733631008,-1552.4079864575117,0.9962089,13.600672,13.80703,13.237787,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.734134649426466,0.0003108398987397,13.371249649426469,0.0003108398987397,0.569243
Gaia DR3 4249667902270614272,\N,\N,303.481,6.709863753429052,43.57360725110433,0.037871387,635.7046,-254.83923163700743,-582.3892988936018,0.99518675,15.664284,15.869202,15.303911,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.860401572963324,0.0018873051343639,13.500028572963323,0.0018873051343639,0.565291
Gaia DR3 1052520154368111872,\N,\N,155.791,63.46251155739832,62.73242175911836,0.017548377,373.1768,299.94113225819325,222.02754419393895,0.9853211,14.59287,14.795179,14.235705,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.580330268096368,0.0006074341849506,13.223165268096366,0.0006074341849506,0.559474
Gaia DR3 931573222477949696,\N,\N,123.547,48.75715308514721,58.4643723253748,0.028168336,262.3082,66.74307021389788,-253.6749107994353,1.0131066,14.9441805,15.145054,14.593148,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.778636957243314,0.0010462229687258,13.427604457243312,0.0010462229687258,0.551906
Gaia DR3 4425632987265111680,\N,\N,239.74,4.284440514729848,44.42666298530873,0.04850509,81.726685,-36.81675394898704,-72.9642204182952,1.0171912,15.995419,16.202784,15.653457,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,14.233637466779005,0.0023708174197585,13.891675466779006,0.0023708174197585,0.549327
Gaia DR3 615733593956317568,\N,\N,150.454,14.689990879643132,51.53569858284947,0.036321424,338.89264,-338.703141161246,11.331797181997135,0.95595276,15.307651,15.505647,14.96523,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.868191837111468,0.0015304145537564,13.525770837111466,0.0015304145537564,0.540417
Gaia DR3 5548080118369905408,\N,\N,124.669,-31.17580660212044,51.65081040631305,0.02400505,821.1987,237.73584237000517,-786.033704498978,1.0341539,15.386825,15.602346,15.061998,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.952210700161912,0.0010092059951638,13.627383700161907,0.0010092059951638,0.540348
Gaia DR3 3725570772761744384,\N,\N,206.847,10.35993412978256,48.05968617454268,0.03251016,909.5954,-898.6551637204748,-140.65085991773077,0.98678917,15.023336,15.218966,14.685208,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.432240652864856,0.0014689011072688,13.094112652864856,0.0014689011072688,0.533758
Gaia DR3 2472557872820632320,\N,\N,13.9594,-11.45680630519491,44.55728647476506,0.032979853,444.48547,-78.97566876998144,437.4130595101332,1.119717,15.137896,15.330082,14.800025,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.38248967284368,0.0016072534842983,13.04461867284368,0.0016072534842983,0.530057
Gaia DR3 44901791432527232,\N,\N,56.1471,18.43104008150184,52.9577347158701,0.036208056,1202.732,412.51764655794017,-1129.7758796278197,0.983954,15.057756,15.246795,14.71874,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.677402998714255,0.0014846708848024,13.338386998714256,0.0014846708848024,0.528055
Gaia DR3 4388138816124225792,\N,\N,257.033,2.9585324413333693,56.0375054933106,0.025768792,397.95978,-11.929890570714146,-397.780923921977,0.9298004,15.095572,15.28722,14.777,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13.837965972236908,0.0009985495304647,13.519393972236909,0.0009985495304647,0.51022
Gaia DR3 1014058103758571520,\N,\N,134.799,48.040871471105525,68.00099930164292,0.42232543,489.16425,-439.8355245306663,-214.0709500414631,4.8404894,3.120973,3.4182682,2.91068,7498.3286,7493.946,7502.5083,3.9261,3.9199,3.9317,-1.7544,-1.7828,-1.7181,14.7754,14.6842,14.8803,2.283549474413565,0.013486269607764,2.073256474413566,0.013486269607764,0.5075882
Gaia DR3 3126453655659835136,\N,\N,101.84,2.5192534243905493,55.26764708306417,0.03672693,412.78082,-412.03298421102033,24.83599381801749,1.06482,15.585516,15.764377,15.263055,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,14.297870878491183,0.0014430056485084,13.975409878491186,0.0014430056485084,0.501322
Gaia DR3 63126196662620416,\N,\N,55.8467,19.971163897615,48.17731638628854,0.041852254,178.5733,75.52925494088046,161.81394929017478,0.96272284,15.617215,15.796421,15.295829,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,14.03142802448368,0.00188638646806,13.71004202448368,0.00188638646806,0.500592
Gaia DR3 2480523216087975040,\N,\N,24.5001,-4.997298038960505,79.24319645098669,0.018644404,678.35754,580.9278879495695,-350.2737870319087,1.0536125,12.744349,12.92261,12.429728,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,12.239158927279716,0.000510905811959,11.924537927279715,0.000510905811959,0.492882
