designation, HIP, HD, ra, declination, parallax, parallax_error, pm, pmra, pmdec, ruwe, phot_g_mean_mag, phot_bp_mean_mag, phot_rp_mean_mag, teff_gspphot, teff_gspphot_lower, teff_gspphot_upper, logg_gspphot, logg_gspphot_lower, logg_gspphot_upper, mh_gspphot, mh_gspphot_lower, mh_gspphot_upper, distance_gspphot, distance_gspphot_lower, distance_gspphot_upper, Mg, Mg_error, MRp, MRp_error, Bp_minus_Rp, Vmag, RAdeg, DEdeg, RAhms, DEdms, Plx, e_Plx, distance_Plx, pmRA, pmDE, BTmag, VTmag, MV, MV_error, MVt, MVt_error, B_minus_V, BT_minus_VT
"Gaia DR3 272855565763652480",21553,"232979",69.42278387138005,52.89150297231415,100.91605993172233,0.026600812,564.14185,304.12546543632584,-475.1460368893003,1.1722351,7.9525313,8.829921,7.031435,3760.6282,3730.2793,3800.8206,4.505,4.4229,4.5533,-0.6343,-0.7844,-0.4619,9.9082,9.8474,9.9641,7.972332730030543,0.0005723859087010119,7.051236430030543,0.0005723859087010119,1.798486,8.62,69.41931771,52.89476987,"04 37 40.64","+52 53 41.2",98.12,1.2,10.1916,305.2,-475.59,10.523,8.812,8.578787697671741,0.026558263542645122,8.770787697671741,0.026558263542645122,1.423,1.711
"Gaia DR3 2739689239311660672",117473,\N,357.3066038231343,2.3969179441959985,169.21632962255026,0.028058065,1387.112,992.7203890285491,-968.8064663267655,1.1554246,8.152917,9.216571,7.120805,3619.1145,3604.8853,3620.3208,4.8356,4.7961,4.8406,-0.2783,-0.3932,-0.2726,5.9056,5.9005,5.9203,9.295128353880465,0.00036005576238462567,8.263016353880463,0.00036005576238551384,2.095766,8.98,357.29977433,2.40357651,"23 49 11.95","+02 24 12.9",167.51,1.49,5.9698,995.12,-968.25,10.916,9.215,10.100203693138472,0.019315737722696014,10.335203693138471,0.019315737722696014,1.46,1.701
"Gaia DR3 2752746111688997248",1463,\N,4.569135382649785,10.202658135740066,59.62895585839463,0.025021251,29.630543,2.0752058544983094,-29.55778351527164,1.0177174,10.007901,11.134671,8.953088,3550.9844,3537.2014,3564.496,4.6114,4.5614,4.6478,-0.4272,-0.5377,-0.2682,16.7354,16.6448,16.9079,8.885187023174467,0.0009111841487889905,7.830374023174467,0.0009111841487889905,2.181583,10.88,4.56912088,10.20286093,"00 18 16.59","+10 12 10.3",61.67,2.2,16.2153,-0.65,-32.3,12.457,10.999,9.830369742131525,0.0774974441467684,9.949369742131525,0.0774974441467684,1.479,1.458
"Gaia DR3 2756363608023588864",116771,"222368",354.9893506001899,5.6243516012277475,73.23703628604858,0.16977987,576.63574,376.4966061507007,-436.7597624667563,2.6400647,3.9992578,4.2614365,3.5563064,6149.203,6129.762,6165.1475,3.9256,3.7308,3.9583,-0.8118,-0.9223,-0.685,13.8409,13.5919,19.974,3.3229116060389288,0.005033968911487552,2.8799602060389287,0.005033968911487552,0.7051301,4.13,354.98675133,5.62735374,"23 39 56.82","+05 37 38.5",72.51,0.88,13.7912,376.32,-437,4.741,4.19,3.431989525636565,0.026354841352516534,3.491989525636564,0.026354841352516534,0.507,0.551
"Gaia DR3 2788907296779604864",3998,"4913",12.84089246068651,18.738054338573637,45.021880013316405,0.022130717,273.8056,53.3965238466421,-268.548538778647,1.0260645,8.761563,9.445558,7.964538,4369.1226,4368.019,4370.449,4.6012,4.5975,4.6082,0.1994,0.1859,0.2151,22.0915,22.0625,22.1203,7.02868113106149,0.001067397568129902,6.231656131061489,0.001067397568129902,1.48102,9.22,12.84050486,18.7399011,"00 51 21.72","+18 44 23.6",45.71,1.66,21.8771,54.14,-267.14,10.831,9.355,7.5200561064466545,0.07889367994972485,7.655056106446654,0.07889367994972485,1.194,1.476
"Gaia DR3 2791782794564103808",5286,"6660",16.90830744929983,22.952800313323927,48.68069798652214,0.03228143,501.01813,103.16760053075082,-490.281154749567,1.2112032,8.033944,8.633616,7.2983813,4488.907,4482.426,4497.807,4.5274,4.5188,4.5347,0.1524,0.1102,0.2124,20.5587,20.5233,20.6868,6.470727982704049,0.0014399597326861802,5.73516528270405,0.0014399597326861802,1.3352347,8.41,16.90753784,22.95617138,"01 07 37.81","+22 57 22.2",48.2,1.06,20.7469,99.08,-491.71,9.86,8.537,6.825235191194248,0.047762073286947704,6.952235191194249,0.047762073286947704,1.122,1.323
"Gaia DR3 2828928008202069376",113296,"216899",344.1402217312129,16.55216937227734,145.62341010499722,0.025450103,1073.0348,-1034.7334113799404,-284.13086712481174,1.0549177,7.795021,8.898596,6.7477736,3398.1133,3362.7478,3515.4578,4.1772,4.0555,4.4891,-0.745,-0.8928,-0.374,6.8717,6.8485,6.8967,8.611176984163063,0.000379500775367525,7.563929584163063,0.000379500775367525,2.1508224,8.68,344.14764241,16.55412209,"22 56 35.43","+16 33 14.8",145.27,1.22,6.8837,-1033.21,-283.33,10.551,8.875,9.490879682650814,0.01823679096838582,9.685879682650814,0.01823679096838582,1.507,1.676
"Gaia DR3 2835207319109249920",113357,"217014",344.3675708158258,20.769104345387106,64.40477219179482,0.07709389,216.16158,207.32768225871274,61.16421533774069,1.0572765,5.283212,5.6174655,4.7888722,5662.524,5661.2275,5663.87,4.3077,4.3068,4.3088,-0.187,-0.1945,-0.1793,15.5181,15.4979,15.5345,4.327802242061248,0.002599300165768703,3.833462442061247,0.002599300165768703,0.8285933,5.45,344.36604441,20.7686841,"22 57 27.85","+20 46 07.3",65.1,0.76,15.361,208.06,60.96,6.268,5.524,4.517904942840961,0.025351674524845436,4.59190494284096,0.025351674524845436,0.666,0.744
"Gaia DR3 2860924621205256704",544,"166",1.655198904590879,29.02071363055181,72.64189108452184,0.029208586,419.65326,380.1592537624844,-177.729603753582,0.85639465,5.878327,6.250121,5.3331194,5405.125,5397.765,5413.698,4.4601,4.4441,4.4806,0.0824,0.0383,0.1392,13.7606,13.738,13.783,5.184262708187548,0.0008731276277527122,4.639055108187547,0.0008731276277527122,0.9170016,6.07,1.65221045,29.02193518,"00 06 36.53","+29 01 19.0",72.98,0.75,13.7024,379.94,-178.34,7.008,6.155,5.386019295143148,0.022316547607016624,5.471019295143147,0.022316547607016624,0.752,0.853
"Gaia DR3 2867175035571212416",117779,\N,358.28539878993894,29.018151753627162,50.228223145721216,0.015265435,80.90682,-78.54896595233234,19.390034523173163,1.0555598,9.145486,9.954945,8.266549,3903.0444,3902.228,3903.8672,4.5279,4.5268,4.529,-0.5138,-0.5207,-0.5074,19.8932,19.8839,19.9035,7.650225074984732,0.0006599570891889783,6.7712880749847315,0.0006599570891889783,1.688396,9.75,358.28601675,29.01801815,"23 53 08.64","+29 01 04.9",44.62,3.88,22.4115,-71.08,22.9,11.588,9.924,7.997647829739096,0.1893017848452967,8.171647829739095,0.1893017848452967,1.357,1.664
"Gaia DR3 2879203933297161088",117197,\N,356.45816260358976,36.255261340639194,50.39620912643605,0.015825303,349.5482,346.28986480064265,47.615862391700105,1.006571,9.305748,10.111169,8.429687,4050.6604,4050.131,4055.1304,4.6823,4.6813,4.6851,-0.0787,-0.0849,-0.0459,19.8117,19.7986,19.8613,7.81773734716915,0.0006818808509989616,6.94167634716915,0.0006818808509989616,1.681482,9.89,356.45521053,36.25493379,"23 45 49.25","+36 15 17.8",50.78,1.58,19.6928,347.1,45.63,11.601,10.028,8.41846348268852,0.06758633777839407,8.55646348268852,0.06758633777839407,1.338,1.573
"Gaia DR3 2887328533953284096",27359,\N,86.92331434152952,-36.329112113805756,68.97093599378836,0.014117911,777.57,767.7895392697288,-122.94053830374963,1.2280368,9.835275,10.959886,8.778977,3592.4983,3591.9873,3592.8237,4.7549,4.7538,4.7556,-0.029,-0.0354,-0.025,14.481,14.4767,14.4861,9.028605598857213,0.0004444865681891841,7.972307598857213,0.0004444865681891841,2.180909,10.72,86.91676194,-36.32826614,"05 47 40.02","-36 19 41.8",66.71,1.49,14.9903,769.53,-123.16,12.267,10.931,9.840954703262916,0.04850895046635184,10.051954703262915,0.04850895046635184,1.476,1.336
"Gaia DR3 2898239468873596800",30503,"45184",96.18199432228883,-28.780657042949517,45.678236401815006,0.016567014,205.21451,-165.12174891818395,-121.85155201671665,1.0133407,6.221316,6.5314407,5.7397532,5739.9775,5738.862,5740.9795,4.3624,4.3618,4.363,-0.3057,-0.3129,-0.2977,21.8886,21.8793,21.903,4.519862639088956,0.0007875701476312003,4.038299839088957,0.0007875701476312003,0.7916875,6.37,96.18328956,-28.77981914,"06 24 43.99","-28 46 47.3",45.38,0.63,22.0361,-164.83,-120.68,7.141,6.439,4.654322457744586,0.03014798403216412,4.723322457744587,0.03014798403216412,0.626,0.702
"Gaia DR3 2904830113367963264",25421,"35854",81.56270270243877,-32.50515745795846,55.985817139236424,0.016548838,261.27606,245.53356327004965,-89.32219788866844,1.0501738,7.4225545,7.9150076,6.767079,4791.3335,4790.692,4791.9727,4.5344,4.5339,4.5348,-0.1876,-0.1909,-0.1842,17.8571,17.852,17.8626,6.162944606611557,0.0006418651724557911,5.507469106611557,0.0006418651724557911,1.1479286,7.7,81.56070096,-32.50454389,"05 26 14.57","-32 30 16.4",55.76,0.76,17.934,246.73,-90.72,8.906,7.809,6.431613825449765,0.029598659205692712,6.540613825449765,0.029598659205692712,0.946,1.097
