"Gaia DR3 2507016253701863040",""
"Gaia DR3 5170039467784804096","21197"
"Gaia DR3 3479221035031532416",""
"Gaia DR3 5588141992752796800",""
"Gaia DR3 3256334497479304832","24916B"
"Gaia DR3 117709729140217216",""
"Gaia DR3 6096529059601571200",""
"Gaia DR3 2620145937091715072",""
"Gaia DR3 2312376723918929920",""
"Gaia DR3 2213428064767263360",""
"Gaia DR3 3278137572540701056",""
"Gaia DR3 4896480390678599168",""
"Gaia DR3 1683609076745527680",""
"Gaia DR3 5408648849826522112",""
"Gaia DR3 2797745549200773120",""
"Gaia DR3 1791995119082190848",""
"Gaia DR3 6564091190988411520","207129"
"Gaia DR3 2835207319109249920","217014"
"Gaia DR3 5329751125239019392",""
"Gaia DR3 1635375460142367104","153597"
"Gaia DR3 1083242222939300480",""
"Gaia DR3 6260386975385254656","139763"
