HIP, e_Plx, Plx
877,0.81,4.86
878,1.04,3.48
879,1,9.43
880,0.8,8.8
881,0.82,4.7
882,0.87,2.46
883,2.24,7.77
884,1.17,2.91
885,0.8,2.95
886,0.9,4
887,0.98,2.25
888,1.82,4.41
889,0.95,16.45
890,1.17,1.44
891,1.19,1.02
892,1.11,3.61
893,1.05,4.53
894,1.13,6.25
895,1.18,12.6
896,1.25,9.37
897,2.29,39.19
898,3.25,24.32
899,1.37,0.9
900,0.94,3.61
901,1.6,-0.33
902,0.73,4.43
903,0.77,4.41
904,1.21,8.36
905,0.89,7.22
906,0.89,3.88
907,2.07,4.01
908,1.17,2.61
909,1.02,4.21
910,0.77,52.94
911,5.67,6.13
912,1.23,4.78
913,1.26,5.09
914,1.1,15.08
915,1.05,1.58
916,5.14,35.69
917,1.19,0.82
918,0.67,6.06
919,0.95,29.35
920,0.91,18.6
921,1.57,4.63
922,1.13,11.58
923,1.9,3.47
924,2.16,20.86
925,1.14,2.54
926,0.85,2.26
927,1.11,4.31
928,0.89,4.71
929,0.82,17
930,0.92,5.61
931,1.48,9.91
932,0.88,7.77
933,24.76,21.87
934,1.09,27.46
935,1.13,6.73
936,1.09,4.04
937,1.06,7.57
938,0.59,4.78
939,1.48,3.36
940,0.77,2.16
941,0.94,8.01
942,1.02,0.53
943,1.21,20.55
944,1.08,7.11
945,1.6,2.14
946,1.17,5.08
947,1.58,6.88
948,1.54,29.15
949,0.94,4.25
950,0.66,45.85
951,0.74,1.15
952,1.15,10.91
953,1.09,9.29
954,0.96,7.81
955,1.49,16.48
956,1.43,12.79
957,0.98,1.99
958,1.1,1.34
959,1.44,4.21
960,1.46,9.92
961,1.33,10.46
962,1.28,4.77
963,1.25,3.89
964,1.05,10.93
965,0.98,2.05
966,0.79,7.97
967,0.7,5.93
968,1.26,2.85
969,0.76,6.88
970,0.9,0.15
971,0.86,10.9
972,1.01,3.49
973,0.87,6.05
974,1.22,38.88
975,0.76,17.21
976,1.33,10.57
977,1.44,3.11
978,0.97,2.97
979,1.19,0
980,0.87,6.68
981,0.74,9.42
982,0.87,3.46
983,0.87,5.33
984,1.22,4.88
985,1.21,9.81
