HIP, e_Plx, Plx
34361,2.46,58.04
34392,2.19,56.51
34414,1.43,44.92
34567,1.02,40.68
34603,3.32,157.24
34673,1.44,39.4
34834,0.53,47.22
34890,0.95,50.02
34950,1.29,39.72
35136,0.69,59.31
35191,2.42,81.05
35296,0.86,67.69
35353,2.16,69.21
35389,28.98,52.47
35495,2.45,50.59
35550,0.85,55.45
35628,1.15,39.1
35821,1.91,61.68
35872,1.14,39.91
35943,1.7,41.56
36208,1.43,263.26
36210,0.53,44.43
36215,2.71,50.93
36338,2.61,79.65
36349,2.68,64.24
36357,1.24,56.98
36366,0.95,54.06
36439,0.81,50.25
36515,0.58,45.93
36551,1.28,47.09
36626,3.87,87.61
36627,4.85,87.15
36635,2.14,40.48
36704,1.29,50.8
36827,1.26,40.32
36834,2.17,87.01
36850,1.23,63.27
36853,3.31,39.31
36915,2.56,76.31
36927,0.8,39.66
36985,1.53,69.85
37217,2.99,92.15
37279,0.88,285.93
37288,1.51,67.27
37349,0.94,70.44
37606,0.81,41.43
37766,2.67,168.59
37798,2.18,40.58
37826,0.87,96.74
37853,0.56,65.79
38082,2.66,70.74
38228,0.89,45.84
38382,0.95,59.98
38423,0.54,55.48
38594,1.57,51.16
38625,1.85,52.01
38657,1.05,50.05
38784,0.57,58.67
38908,0.51,61.76
38910,4.31,54.62
38931,1.45,57.26
38939,1.15,54.91
38956,11.52,122.53
39064,0.96,43.21
39157,0.77,59.52
39342,0.58,57.88
39494,1.58,39.46
39710,0.77,39.08
39757,0.66,51.99
39780,0.97,42.86
39826,2.51,58.42
39896,3.16,48.26
39903,3.38,46.75
39950,3.3,46.27
39987,2.33,60.23
40035,0.77,44.47
40118,0.92,46.05
40167,1.38,39.11
40170,1.87,40.94
40239,4.14,46.21
40375,1.26,54.53
40501,1.79,109.23
40671,1.31,44.34
40693,0.77,79.48
40702,0.49,51.4
40774,1.32,42.89
40843,0.93,55.17
40910,1.66,42.66
41484,0.84,45.89
41554,6.64,51.13
41689,1.73,52.33
41802,6.28,46.02
41824,5.69,78.05
41926,0.66,82.15
42074,1.01,45.95
42173,4.61,42.71
42220,1.26,71.96
42267,15.21,52.66
42333,1.04,42.32
42418,1.21,39.28
42430,0.98,50.2
42438,0.71,70.07
42499,1.04,53.98
42525,27.44,44.31
42697,0.79,44.73
42748,13.82,74.95
42762,3.92,64.56
42808,0.56,89.78
42881,3.89,54.68
42913,0.38,40.9
43510,3.5,55.46
43534,1.41,60.63
43557,1.19,41.42
