HIP,HD,designation,Vmag,RAdeg,DEdeg,RAhms,DEdms,Plx,e_Plx,distance_Plx,pmRA,pmDE,BTmag,VTmag,MV,MV_error,MVt,MVt_error,B_minus_V,BT_minus_VT
HIP 6097,\N,\N,11.78,19.56627324,-12.89818577,01 18 15.91,-12 53 53.5,45.22,3.65,22.1141,174.4,-679.14,\N,\N,10.056652790046703,0.1756557863048922,\N,\N,1.44,\N
HIP 114252,\N,\N,10.87,347.08119329,-15.40988872,23 08 19.49,-15 24 35.6,45.75,2.6,21.8579,101.59,-24.15,\N,\N,9.171955492012335,0.12353919591947982,\N,\N,1.397,\N
HIP 14589,\N,\N,10.86,47.10218246,-24.17280917,03 08 24.52,-24 10 22.1,45.83,11.06,21.8198,7.55,-161.97,\N,\N,9.165749286223935,0.5345781077112832,\N,\N,\N,\N
HIP 88118,\N,\N,12.05,269.95662066,-57.76889782,17 59 49.59,-57 46 08.0,45.99,18.45,21.7439,-33.99,-24.11,\N,\N,10.36331704787019,0.9229789895656895,\N,\N,\N,\N
HIP 41802,\N,\N,11.19,127.84111183,-6.03369607,08 31 21.87,-06 02 01.3,46.02,6.28,21.7297,-470.79,-48.21,\N,\N,9.504733071663123,0.2981845652336945,\N,\N,1.387,\N
HIP 64880,\N,\N,11.28,199.49353344,36.29995254,13 17 58.45,+36 17 59.8,46.25,2.12,21.6216,-71.56,-336.95,\N,\N,9.60555868537526,0.0996053998531563,\N,\N,1.356,\N
HIP 19948,\N,\N,10.91,64.17383394,-12.55691853,04 16 41.72,-12 33 24.9,47.05,6.24,21.254,-74.96,211.24,\N,\N,9.27279813881638,0.2896978136691022,\N,\N,1.512,\N
HIP 84212,\N,\N,11.61,258.21317676,-5.12368193,17 12 51.16,-05 07 25.3,47.05,3.27,21.254,189.07,-695.06,\N,\N,9.97279813881638,0.15116218801324877,\N,\N,1.49,\N
HIP 2762,3196,\N,5.2,8.8110039,-3.59275785,00 35 14.64,-03 35 33.9,47.51,1.15,21.0482,407.68,-36.47,\N,\N,3.583925152096027,0.05257169325810329,\N,\N,0.567,\N
HIP 30365,\N,\N,11.21,95.79438197,8.90720423,06 23 10.65,+08 54 25.9,48.08,13.63,20.7987,206.42,88.35,\N,\N,9.619822294973416,0.6329158004268542,\N,\N,\N,\N
