HIP,HD,BD,CoD,CPD,B_minus_V,BT_minus_VT,MV,MVt,SpType
HIP 105675,203413,\N,\N,P-59  7695,1.063,1.253,6.656929904045709,6.76792990404571,K3V
HIP 60310,107576,\N,C-40  7254,P-40  5660,1.064,1.222,6.629717174144865,6.764717174144867,K4V
HIP 12709,16909,B+18  339,\N,\N,1.074,1.262,6.887540917980128,7.008540917980128,K5
HIP 84709,156384,\N,C-34 11626,P-34  6803,1.082,\N,6.693502762910086,\N,K4V
HIP 32939,\N,\N,C-43  2742,\N,1.086,1.495,8.025876317390516,8.253876317390514,M0V
HIP 110774,\N,\N,\N,\N,1.102,1.49,7.528670741300524,7.6816707413005245,K7
HIP 63762,115675,B+87  118,\N,\N,1.102,1.296,6.840265529936096,7.025265529936097,K0
HIP 61329,109333,B-13 3557,\N,\N,1.103,1.334,7.061439079760653,7.236439079760654,K3/K4V
HIP 54922,97782,B-22 3102,C-22  8770,\N,1.108,1.271,7.243177518840765,7.419177518840765,K4V
HIP 67422,120476,B+27 2296,\N,\N,1.11,1.31,6.374038145130737,6.681038145130736,K2
HIP 116838,222474,B+19 5135,\N,\N,1.113,1.288,6.253535148407233,6.448535148407233,K2
HIP 33373,\N,B+40 1758,\N,\N,1.117,1.321,7.171809655549391,7.258809655549391,K5V
HIP 86340,\N,B+71  851,\N,\N,1.117,1.252,7.206920142408266,7.358920142408267,M0
HIP 63257,112575,B-13 3627,\N,\N,1.118,1.316,7.283897290729758,7.458897290729759,K4V
HIP 110719,212168,\N,\N,\N,1.12,1.289,8.249424815963222,7.744424815963223,\N
HIP 114242,218422,\N,C-25 16291,P-25  7524,1.12,1.453,8.707839925279636,8.777839925279636,K4:V:
HIP 102119,196998,B-22 5504,C-22 14919,P-22  7859,1.121,1.414,8.018449095592008,8.222449095592008,K5V
HIP 57494,102392,B-11 3178,\N,\N,1.126,1.425,7.07102503852163,7.22102503852163,K2
HIP 38910,\N,\N,C-33  4354,P-33  1880,1.136,1.366,7.516758479018573,7.662758479018574,K5V
HIP 28442,40887,\N,C-31  2902,P-31   976,1.137,1.07,6.974532356510562,7.795532356510562,K3/K4V
HIP 85582,\N,B+29 3029,\N,\N,1.143,1.371,7.126829282963664,7.3038292829636635,K2
HIP 73633,132899,\N,C-41  9419,P-41  7014,1.145,1.314,7.047623514268263,7.197623514268264,K3V
HIP 51468,90875,B+60 1266,\N,\N,1.15,1.394,6.99784369432896,7.11984369432896,K5
HIP 91154,170915,\N,C-61  6029,P-61  6193,1.152,1.284,7.671653721509844,7.790653721509844,K3V
HIP 68337,122120,B+23 2640,\N,\N,1.16,1.367,7.164694846057452,7.27569484605745,K
HIP 106400,205434,B+61 2153,\N,\N,1.163,1.378,7.51741873407456,7.62741873407456,K
HIP 45839,80632,B-05 2778,\N,\N,1.163,1.419,7.185001705604496,7.343001705604495,K2
HIP 90376,\N,B+79  590,\N,\N,1.166,1.378,7.302859770325882,7.500859770325882,K5
HIP 109980,\N,B+67 1424,\N,\N,1.17,1.418,7.330159475631488,7.468159475631488,K5
