HIP, DR3, DR2, DR1, Plx, e_Plx, parallax, parallas_error, distance_parallax
97051,"Gaia DR3 4302670684951953280","Gaia DR2 4302670684951953280","Gaia DR1 4302670680625318784",44.18,1.86,38.3579,0.0148999998,26.0702
116838,\N,\N,"Gaia DR1 2826159845944612736",39.51,1.85,38.43,0.9900000095,26.0213
7372,"Gaia DR3 5022972468946212352","Gaia DR2 5022972468946212352",\N,42.29,1.47,38.4341,0.6649000049,26.0186
51928,"Gaia DR3 5455932041699339008","Gaia DR2 5455932041699339008","Gaia DR1 5455932037401675136",39.56,3.14,38.495,0.0228000004,25.9774
2081,"Gaia DR3 4993479684438433792",\N,\N,42.14,0.78,38.5,0.7300000191,25.974
75266,"Gaia DR3 4420712604009198080","Gaia DR2 4420712604009198080","Gaia DR1 4420712599713376640",39.35,1.37,38.501,0.0241999999,25.9734
110066,"Gaia DR3 6512176375093055744","Gaia DR2 6512176375093055744",\N,39.38,1.13,38.5442,0.0197999999,25.9442
57494,"Gaia DR3 3585636855608873984","Gaia DR2 3585636855608873984","Gaia DR1 3585636851311975552",40.57,2.66,38.5497,0.0288999993,25.9405
60370,"Gaia DR3 6150200345317455232","Gaia DR2 6150200345317455232","Gaia DR1 6150200341022048000",39.02,0.8,38.5703,0.0217000004,25.9267
53910,"Gaia DR3 856096765753549056","Gaia DR2 856096765752993280",\N,41.07,0.6,38.6031,1.1284999847,25.9047
109084,"Gaia DR3 2613420563766963200","Gaia DR2 2613420563766963200","Gaia DR1 2613420563766963200",46.7,7.86,38.6157,0.5328999758,25.8962
17207,"Gaia DR3 3271668905115228672","Gaia DR2 3271668905115228672","Gaia DR1 3271668969538328576",39.87,2.01,38.6196,0.0423999988,25.8936
19165,"Gaia DR3 5091077112524265344","Gaia DR2 5091077112523802112","Gaia DR1 5091077108227400576",42.54,1.64,38.6445,0.0173000004,25.8769
65327,"Gaia DR3 1565976794456209792","Gaia DR2 1565976794456209792",\N,39.84,1.44,38.6834,0.4420000017,25.8509
36853,"Gaia DR3 865699110037321600","Gaia DR2 865699110037321600","Gaia DR1 865699105740762496",39.31,3.31,38.6981,0.0187999997,25.8411
10688,"Gaia DR3 4743263514068260608","Gaia DR2 4743263514067898240",\N,40.4,2.95,38.7109,0.0205000006,25.8325
35628,"Gaia DR3 1108183342844837888","Gaia DR2 1108183342844837888","Gaia DR1 1108183338545326336",39.1,1.15,38.7432,0.0198999997,25.811
117542,"Gaia DR3 2327840667768506368","Gaia DR2 2327840667768506368","Gaia DR1 2327840663474971392",39.53,1.13,38.7568,0.0285,25.8019
61100,"Gaia DR3 1571145907856592768","Gaia DR2 1571145907856592768",\N,42.13,3.11,38.7846,0.5583999753,25.7834
2711,"Gaia DR3 4925088171405735680","Gaia DR2 4925088171405735680",\N,39.03,0.62,38.8246,0.0465999991,25.7569
32423,"Gaia DR3 937667952871051776","Gaia DR2 937667952870489856","Gaia DR1 937667948573715072",40.02,1.22,38.8281,0.0215000007,25.7545
73252,"Gaia DR3 1614477420588506240","Gaia DR2 1614477420588506240","Gaia DR1 1614477416292556544",39.95,0.92,38.8326,0.0138999997,25.7516
105675,"Gaia DR3 6453300894679705984","Gaia DR2 6453300894679705984","Gaia DR1 6453300890383166720",39.39,1.26,38.9387,0.0182000007,25.6814
39710,"Gaia DR3 5596797039059063680","Gaia DR2 5596797039059063680","Gaia DR1 5596797034747496576",39.08,0.77,38.9581,0.0173000004,25.6686
42173,"Gaia DR3 594989417312890368","Gaia DR2 594989417312890368","Gaia DR1 594989413017794944",42.71,4.61,38.9809,0.0412000008,25.6536
53947,"Gaia DR3 3969885761146749952","Gaia DR2 3969885761146749952","Gaia DR1 3969885756851667584",57.46,25.52,38.9897,0.0225000009,25.6478
53953,"Gaia DR3 3969885761146749824","Gaia DR2 3969885761146749824","Gaia DR1 3969885756851667712",59.31,12.56,38.9927,0.0221999995,25.6458
17157,"Gaia DR3 4833306713154584704","Gaia DR2 4833306713154584704","Gaia DR1 4833306708858124416",39.84,1.11,39.0821,0.0177999996,25.5872
48502,"Gaia DR3 5463156589008251648","Gaia DR2 5463156589008251648","Gaia DR1 5463156584711913856",39.02,2.52,39.0922,0.2419999987,25.5806
32939,"Gaia DR3 5562061542577445760","Gaia DR2 5562061542577445760","Gaia DR1 5562061538279299840",39.19,1.01,39.128,0.0091000004,25.5571
66704,"Gaia DR3 1558718059209082752","Gaia DR2 1558718059209082752","Gaia DR1 1558718054912221952",39.64,0.71,39.1793,0.0253999997,25.5237
111170,"Gaia DR3 2622845684814477696","Gaia DR2 2622845684814477696",\N,39.18,1.83,39.1884,0.6248999834,25.5178
4443,"Gaia DR3 2472505371140957952","Gaia DR2 2472505371140425472","Gaia DR1 2472505366844289536",41.73,2.29,39.1987,0.0284000002,25.5111
62505,"Gaia DR3 3523699441470095104","Gaia DR2 3523699441470095104",\N,47.19,1.93,39.2109,0.6151999831,25.5031
18180,"Gaia DR3 4857520536178521344","Gaia DR2 4857520536178521344",\N,39.48,2.69,39.2185,0.0179999992,25.4982
26501,\N,\N,"Gaia DR1 4796263715441768832",39.59,0.94,39.22,0.75,25.4972
86742,"Gaia DR3 4473334474604992384","Gaia DR2 4473334474601314560",\N,39.78,0.75,39.2284,0.202700004,25.4917
117946,"Gaia DR3 2847644410526748416","Gaia DR2 2847644410526748416","Gaia DR1 2847644406230983680",39.35,1.16,39.2555,0.0220999997,25.4741
76233,"Gaia DR3 4400452830957830656","Gaia DR2 4400452830957830656","Gaia DR1 4400452826661590656",39.78,0.83,39.2622,0.0277999993,25.4698
12186,"Gaia DR3 5062172841616745856","Gaia DR2 5062172841616745856",\N,39.16,0.64,39.2946,0.0305000003,25.4488
108092,"Gaia DR3 1960390203963541760","Gaia DR2 1960390203963541760","Gaia DR1 1960390199663139456",43.07,1.55,39.3117,0.0119000003,25.4377
55507,"Gaia DR3 788340461203094912","Gaia DR2 788340461203094912","Gaia DR1 788340834864017408",40.36,1.48,39.3187,0.0147000002,25.4332
96258,"Gaia DR3 2136027771930903808","Gaia DR2 2136027771930903808",\N,39.08,0.47,39.3227,0.0280000009,25.4306
34567,"Gaia DR3 882872210352301568","Gaia DR2 882872210352301568","Gaia DR1 882872206055476736",40.68,1.02,39.3515,0.1367000043,25.412
63762,"Gaia DR3 1728599752525089408","Gaia DR2 1728599752525089408","Gaia DR1 1728599748229472000",41.12,0.76,39.3725,0.0851000026,25.3984
115126,"Gaia DR3 2411855072801158656","Gaia DR2 2411855072801158656",\N,48.22,5.25,39.4019,1.0568000078,25.3795
54803,"Gaia DR3 3804108716535576960","Gaia DR2 3804108716535576960",\N,41.49,2.03,39.42,2.0299999714,25.3678
8190,"Gaia DR3 351045720262686080","Gaia DR2 351045720262686080",\N,40.43,2.67,39.4243,0.0241,25.3651
23941,"Gaia DR3 3212075924646082176","Gaia DR2 3212075924646082176",\N,39.99,0.7,39.4394,0.0930000022,25.3554
63257,"Gaia DR3 3524996177995941632","Gaia DR2 3524996177995941632",\N,43.13,1.32,39.4978,0.3889999986,25.3179
62956,"Gaia DR3 1576683529448755328",\N,\N,40.3,0.62,39.51,0.200000003,25.31
74605,"Gaia DR3 1645425614893967744","Gaia DR2 1645425614893967744","Gaia DR1 1645425610597706112",39.51,0.47,39.5487,0.0648000017,25.2853
99880,"Gaia DR3 2080826374043095552","Gaia DR2 2080826374043095552","Gaia DR1 2080826374043095552",40.97,1.21,39.5574,0.0109999999,25.2797
36927,"Gaia DR3 5492574125690123264","Gaia DR2 5492574125690123264","Gaia DR1 5492574121392001664",39.66,0.8,39.5637,0.0138999997,25.2757
3170,"Gaia DR3 4906784051581971200","Gaia DR2 4906784051581554560",\N,39.26,0.56,39.5912,0.0410000011,25.2581
48509,"Gaia DR3 826957061916956544","Gaia DR2 826957061916956544","Gaia DR1 826957057622290048",39.75,3.27,39.6032,0.0206000004,25.2505
41802,"Gaia DR3 3064885260813278336","Gaia DR2 3064885260813278336",\N,46.02,6.28,39.6192,0.0693000033,25.2403
32765,"Gaia DR3 5557816190743628416","Gaia DR2 5557816190743628416",\N,39.66,0.53,39.6665,0.0707999989,25.2102
90376,"Gaia DR3 2294149672988951680","Gaia DR2 2294149672988951680","Gaia DR1 2294149668692602880",40.98,0.89,39.6716,0.0132999998,25.2069
103544,"Gaia DR3 1866522319330814592","Gaia DR2 1866522319327259136","Gaia DR1 1866522315019734784",42.8,2.23,39.6776,0.0207000002,25.2031
73100,"Gaia DR3 1592338513445876608","Gaia DR2 1592338513445876608","Gaia DR1 1592338509149257600",40.25,0.54,39.7477,0.0388999991,25.1587
74975,"Gaia DR3 4421455530273900032","Gaia DR2 4421455530273467392",\N,40.46,0.81,39.7954,0.0807000026,25.1285
112245,"Gaia DR3 2211393521580984320","Gaia DR2 2211393521580984320","Gaia DR1 2211393517279840896",39.82,0.71,39.796,0.0141000003,25.1282
94981,"Gaia DR3 2051069711047203712","Gaia DR2 2051069711047203712","Gaia DR1 2051069706747074688",39.64,0.56,39.8305,0.0925000012,25.1064
33373,"Gaia DR3 950395658954590080","Gaia DR2 950395658954590080","Gaia DR1 950395654660064896",41.53,1.41,39.8698,0.0228000004,25.0816
10925,"Gaia DR3 4963661822446609792","Gaia DR2 4963661822446609792",\N,39.3,1.07,39.9014,0.1665000021,25.0618
65477,"Gaia DR3 1565090003967879424","Gaia DR2 1565090003969283968",\N,40.19,0.57,39.91,0.1299999952,25.0564
70308,"Gaia DR3 5846770973285176960","Gaia DR2 5846770973285176960","Gaia DR1 5846770968964962560",42.29,1.47,39.9221,0.2117000073,25.0488
