HIP, HD, BD, CoD, CPD, B-V, BT-VT, MV, MVt, SpType
1696,\N,\N,"C-46    76","P-46    29",1.475,\N,9.138496133012529,\N,"M0"
80346,\N,\N,\N,\N,1.475,1.717,10.743054315160684,10.855054315160686,"M3"
3143,\N,\N,"C-44   170",\N,1.476,\N,9.609423709581522,\N,"M4"
33805,\N,\N,\N,\N,1.476,\N,9.141333094513369,\N,"M0"
57459,\N,\N,\N,\N,1.478,\N,10.128763480695783,\N,"M"
10395,\N,\N,"C-32   828",\N,1.479,1.573,9.846788040655866,10.146788040655863,\N
19394,\N,\N,\N,\N,1.48,\N,10.914532356510563,\N,"M"
88499,\N,"B+35 3145",\N,\N,1.48,1.403,9.177049336438914,9.468049336438913,"M2"
96702,\N,\N,\N,\N,1.48,\N,9.24811704614615,\N,"M:"
114716,\N,\N,\N,\N,1.48,\N,9.950328352161236,\N,"M2"
43510,\N,\N,\N,\N,1.481,\N,10.259899326209215,\N,\N
57361,\N,\N,\N,\N,1.482,\N,10.268721375986617,\N,\N
61495,\N,\N,"C-45  7872",\N,1.482,1.158,9.803232949693681,10.021232949693681,"M1"
1295,\N,\N,\N,\N,1.485,\N,10.280937849330611,\N,"M:"
1734,\N,\N,\N,\N,1.485,\N,9.858257218546886,\N,"M2V:"
84140,"155876","B+45 2505",\N,\N,1.485,1.629,10.305620573116627,10.562620573116625,"K5"
29295,"42581","B-21 1377",\N,\N,1.487,1.655,9.342614061091469,9.538614061091469,"M1/M2V"
47650,\N,\N,\N,\N,1.488,\N,10.879845014757265,\N,"M4"
1608,\N,\N,\N,\N,1.49,\N,9.64251521910045,\N,\N
4189,\N,\N,\N,\N,1.49,\N,10.06755767100227,\N,\N
21765,\N,"B-09  956",\N,\N,1.49,1.392,8.746532612159013,9.081532612159014,"M0V..."
84212,\N,\N,\N,\N,1.49,\N,9.97279813881638,\N,"K"
114233,\N,\N,\N,\N,1.49,\N,9.92580450799717,\N,"M1V:"
7170,\N,\N,"C-22   526",\N,1.492,\N,9.917165409096738,\N,\N
49526,\N,\N,\N,\N,1.492,\N,9.587991909216449,\N,"M:"
738,\N,\N,"C-27    16",\N,1.493,\N,9.8882333147921,\N,\N
36635,\N,\N,\N,\N,1.494,1.348,8.876202519158715,8.971202519158716,"M0"
17743,\N,\N,\N,\N,1.495,\N,9.851735392649534,\N,"M0V:"
36215,\N,\N,\N,\N,1.495,\N,9.78486838088089,\N,"M2"
106811,\N,"B+27 4120",\N,\N,1.495,1.693,9.236067081275097,9.489067081275097,\N
7646,\N,\N,\N,\N,1.496,\N,10.21932982221752,\N,"K:"
36853,\N,\N,\N,\N,1.498,\N,9.502515219100449,\N,\N
108752,\N,\N,\N,\N,1.498,\N,9.574512249433276,\N,"M2"
34392,\N,\N,\N,\N,1.499,\N,9.930626536489495,\N,"M2"
14731,\N,\N,\N,\N,1.5,\N,10.619471870127498,\N,"M4V:"
25716,\N,\N,\N,\N,1.5,2.252,9.348339223448153,9.458339223448153,"M2V:"
67795,\N,\N,\N,\N,1.5,\N,10.688926177668261,\N,\N
89490,"348274",\N,\N,\N,1.5,\N,9.01238635080366,\N,"M2"
94557,\N,\N,\N,\N,1.5,\N,10.158727462647882,\N,"M:"
105932,\N,\N,\N,\N,1.5,\N,10.03684576795741,\N,"M0"
116003,\N,\N,\N,\N,1.5,\N,10.238769594624877,\N,"M2Ve"
118200,\N,\N,\N,\N,1.5,\N,10.620229070512085,\N,"M2V:"
14165,\N,\N,\N,\N,1.501,\N,10.167593718478948,\N,\N
48477,\N,"B-02 3000",\N,\N,1.503,\N,9.554443723111957,\N,"M0"
52596,\N,\N,\N,\N,1.503,\N,10.512385209066704,\N,\N
57050,\N,\N,\N,\N,1.503,\N,11.647078573613346,\N,"M5"
1386,\N,\N,\N,\N,1.505,\N,9.68959517751771,\N,"M:"
21556,\N,"B-11  916",\N,\N,1.505,1.954,10.1167547868383,10.1727547868383,"M1"
56466,\N,\N,"C-23 10062",\N,1.505,\N,9.914469601910628,\N,\N
86707,\N,\N,\N,\N,1.507,\N,9.209318561419597,\N,"M2"
10812,\N,\N,\N,\N,1.51,\N,10.863351659476677,\N,\N
15844,\N,\N,\N,\N,1.51,\N,8.898176187919482,\N,"M0..."
48509,\N,\N,\N,\N,1.51,\N,10.016685664962445,\N,\N
82926,\N,\N,"C-38 11343",\N,1.51,\N,10.365099742704542,\N,"M3Ve+..."
108405,\N,\N,"C-51 13128",\N,1.51,1.931,9.308960838653377,9.635960838653377,"M0"
43948,\N,"B+12 1944",\N,\N,1.511,1.083,9.526293166788506,10.327293166788506,"M5"
19948,\N,\N,\N,\N,1.512,\N,9.27279813881638,\N,\N
65143,\N,"B+35 2439",\N,\N,1.512,1.439,9.586506768065576,9.828506768065576,"M0"
9724,\N,"B-18  359",\N,\N,1.514,1.86,10.315299842997895,10.571299842997895,"M3"
106972,\N,\N,\N,\N,1.515,\N,9.618323893942087,\N,"M3:"
10072,\N,\N,\N,\N,1.517,\N,10.289566056061721,\N,\N
84521,\N,\N,\N,\N,1.517,\N,10.617779661451783,\N,"M3.5"
97292,"331161","B+31 3767",\N,\N,1.517,1.681,9.112409088497333,9.642409088497331,"M1+..."
73182,"131976","B-20 4123",\N,\N,1.519,\N,8.639519842039618,\N,"K5V"
2552,\N,"B+66   34",\N,\N,1.52,\N,10.242465614417561,\N,"M2.5Ve"
23932,\N,\N,\N,\N,1.52,\N,10.432998609829756,\N,"M5"
