HIP,designation_DR3,designation_DR2,designation_DR1,hipparcos_parallax,hipparcos_parallax_error,simbad_parallax,simbad_parallax_error
HIP 96702,Gaia DR3 2263910113928117632,Gaia DR2 2263910113928117632,Gaia DR1 2263910109632311040,45.88,1.29,47.5306,0.014
HIP 44072,Gaia DR3 684865658135318144,Gaia DR2 684865658135318144,Gaia DR1 684865658135318144,48.53,1.28,47.5501,0.0193
HIP 16242,Gaia DR3 5162123155863791744,Gaia DR2 5162123155863791744,Gaia DR1 5162123151567492736,46.16,1.88,47.5505,0.0141
HIP 64457,Gaia DR3 3684934540986187776,Gaia DR2 3684934540986187776,\N,48.95,1.06,47.5529,0.0291
HIP 7734,Gaia DR3 350664155368182656,Gaia DR2 350664155368182656,Gaia DR1 350664151070846848,46.73,0.8,47.5821,0.0247
HIP 97295,Gaia DR3 2035035223783462400,Gaia DR2 2035035223783462400,\N,47.94,0.54,47.6516,0.0675
HIP 18324,Gaia DR3 474648763011926272,Gaia DR2 474648763011926272,Gaia DR1 474648758710195968,46.95,0.95,47.6976,0.0181
HIP 86486,Gaia DR3 5946685759563224960,Gaia DR2 5946685759563224960,\N,45.72,0.79,47.7045,0.1368
HIP 108380,Gaia DR3 2724890053318383232,Gaia DR2 2724890053318383232,Gaia DR1 2724890049023581056,50.43,2.48,47.7227,0.0237
HIP 39950,Gaia DR3 676804558572501120,Gaia DR2 676804558572501120,Gaia DR1 676804554276830464,46.27,3.3,47.7385,0.0215
HIP 102040,Gaia DR3 1814241194252808704,Gaia DR2 1814241194252808704,\N,47.65,0.76,47.7457,0.0197
HIP 108890,Gaia DR3 6558265325547297536,Gaia DR2 6558265325547297536,\N,45.87,8.09,47.7566,0.025
HIP 80612,Gaia DR3 4344429586787123072,Gaia DR2 4344429586787123072,Gaia DR1 4344429582489757184,46.19,2.85,47.7832,0.0206
HIP 97223,Gaia DR3 2032017717217569152,Gaia DR2 2032017717217569152,Gaia DR1 2032017712854639744,48.49,1.23,47.8092,0.0141
HIP 86707,Gaia DR3 4473756480908157184,Gaia DR2 4473756480908157184,\N,50.8,3.38,47.828,0.6565
HIP 4473,Gaia DR3 4710180171260274816,Gaia DR2 4710180171260274816,Gaia DR1 4710180235683826176,51.66,1.07,47.8295,0.0117
HIP 46343,Gaia DR3 1124490096714712960,Gaia DR2 1124490092418453376,Gaia DR1 1124490092418453376,49.84,1.04,47.8351,0.0147
HIP 98679,Gaia DR3 6667318634003429504,Gaia DR2 6667318634003429504,Gaia DR1 6667319385624433152,84.75,11.17,47.8413,0.0206
HIP 69671,Gaia DR3 6096524382383054720,Gaia DR2 6096524382383054720,\N,47.51,0.78,47.8421,0.0416
HIP 27207,Gaia DR3 3456337827237371264,Gaia DR2 3456337827237371264,Gaia DR1 3456337822938565504,48.6,1.03,47.8551,0.0196
HIP 65530,Gaia DR3 1665517334465010432,Gaia DR2 1665517334465010432,Gaia DR1 1665517330169636480,46.86,0.55,47.8881,0.0163
HIP 112312,Gaia DR3 6603693881832177792,Gaia DR2 6603693881832177792,Gaia DR1 6603693877537306112,42.35,3.37,47.9218,0.0252
HIP 116384,Gaia DR3 2646280705713202816,Gaia DR2 2646280705713202816,Gaia DR1 2646280705713202816,51.8,1.74,47.9641,0.0236
HIP 96183,Gaia DR3 2018474482692959232,Gaia DR2 2018474482692959232,Gaia DR1 2018474478380248704,49.61,0.94,47.9716,0.0172
HIP 84195,Gaia DR3 4548462729742343296,Gaia DR2 4548462729742343296,\N,48.69,1.03,48.0464,0.0191
HIP 105712,Gaia DR3 6399747669021004928,Gaia DR2 6399747669021004928,\N,48.86,0.81,48.0625,0.342
HIP 112978,Gaia DR3 6609167869190786688,Gaia DR2 6609167869190786688,Gaia DR1 6609167864895197952,51.42,2.9,48.0883,0.0191
HIP 11439,Gaia DR3 5067008970494311936,Gaia DR2 5067008970494311936,Gaia DR1 5067008970494311936,48.01,1.94,48.0984,0.0196
HIP 25110,Gaia DR3 553480551264062848,Gaia DR2 553480551264062848,\N,47.66,0.52,48.1098,0.0727
HIP 27323,Gaia DR3 4794632903476180096,Gaia DR2 4794632903476180096,Gaia DR1 4794632899180592128,48.2,1.06,48.1292,0.0112
HIP 36551,Gaia DR3 3165287719154543232,Gaia DR2 3165287719154543232,Gaia DR1 3165287714857687808,47.09,1.28,48.2028,0.0178
HIP 61495,Gaia DR3 6131930516518662144,Gaia DR2 6131930516518662144,\N,55.29,9.42,48.2102,0.5963
HIP 7646,Gaia DR3 2510475768254568832,Gaia DR2 2510475768254568832,Gaia DR1 2510475763959112704,52.95,2.92,48.2163,0.0307
HIP 72509,Gaia DR3 6228695236338166528,Gaia DR2 6228695236338166528,\N,221.8,69.07,48.2281,0.0336
HIP 83846,Gaia DR3 5965924361179144832,Gaia DR2 5965924361179144832,\N,44.44,1.52,48.254,0.5568
HIP 72511,Gaia DR3 6228695270698475392,Gaia DR2 6228695270697905280,\N,235.24,22.43,48.2572,0.0341
HIP 116645,Gaia DR3 6536984484150014720,Gaia DR2 6536984484151135360,\N,54.15,3.39,48.2653,0.0254
HIP 106694,\N,Gaia DR2 1953952391581618432,\N,46.8,3.37,48.2934,0.1828
HIP 75722,Gaia DR3 6317854118838346752,Gaia DR2 6317854118838346752,\N,48.06,1.14,48.3452,0.0288
HIP 36704,Gaia DR3 898639447612575104,Gaia DR2 898639447612575104,\N,50.8,1.29,48.3563,0.0209
HIP 81563,Gaia DR3 1413099460779606528,Gaia DR2 1413099460779606528,\N,45.89,1.98,48.3652,0.0163
HIP 1031,Gaia DR3 4918476567469050624,Gaia DR2 4918476567469050624,Gaia DR1 4918476357015844352,49.18,0.78,48.4289,0.0177
HIP 84277,Gaia DR3 4359809585500446720,Gaia DR2 4359809585500446720,\N,52.76,4.18,48.4843,0.329
HIP 114924,Gaia DR3 1995681125599758592,Gaia DR2 1995681125599758592,\N,49.31,0.58,48.5197,0.0463
HIP 83601,Gaia DR3 4381502851133968128,Gaia DR2 4381502851133968128,\N,49.06,0.89,48.5672,0.0385
HIP 107317,Gaia DR3 2700417192226894976,Gaia DR2 2700417192226894976,Gaia DR1 2700417187931661696,47.3,3.84,48.6248,0.0441
HIP 5286,Gaia DR3 2791782794564103808,Gaia DR2 2791782794564103808,Gaia DR1 2791782790268501120,48.2,1.06,48.6807,0.0323
HIP 48411,Gaia DR3 3847128380281953664,Gaia DR2 3847128380281953664,\N,47.69,1.53,48.7236,0.0276
HIP 43790,Gaia DR3 577602496345490176,Gaia DR2 577602496345490176,Gaia DR1 577602492050137088,49.92,2.2,48.7404,0.0184
HIP 103768,Gaia DR3 6781117812601143168,Gaia DR2 6781117812601143168,Gaia DR1 6781117808303414016,48.87,1.71,48.7902,0.0225
HIP 94225,Gaia DR3 6661911579416783616,Gaia DR2 6661911579416783616,\N,49.84,1.51,48.8217,0.1339
HIP 66252,Gaia DR3 3630092241022731136,Gaia DR2 3630092241022731136,Gaia DR1 3630093714195537408,50.54,0.99,48.8225,0.0224
HIP 18267,Gaia DR3 43499295632961152,Gaia DR2 43499295632961152,Gaia DR1 43499291335625600,48.36,1.02,48.849,0.0207
HIP 31592,Gaia DR3 2939555954755196160,Gaia DR2 2939555954747554176,\N,50.41,0.7,48.849,0.1323
HIP 64408,Gaia DR3 6141742283401003264,Gaia DR2 6141742283401003264,\N,48.83,0.79,48.8691,0.1058
HIP 70016,Gaia DR3 3642413746280598784,Gaia DR2 3642413746280598784,\N,48.12,1.11,48.9015,0.0445
HIP 114948,Gaia DR3 6489909443564308224,Gaia DR2 6489909443564308224,\N,48.6,0.6,48.9174,0.0356
HIP 99452,Gaia DR3 1809360187275432832,Gaia DR2 1809360187271699584,\N,48.83,0.91,48.9262,0.023
HIP 26505,Gaia DR3 215395053733297024,Gaia DR2 215395053733297024,\N,48.72,1.0,48.9274,0.0214
HIP 5410,Gaia DR3 5041018993810217984,Gaia DR2 5041018993810217984,Gaia DR1 5041018989514334592,46.11,3.65,48.9332,0.0482
HIP 19893,Gaia DR3 4781833626056162688,Gaia DR2 4781833626056162688,\N,49.26,0.5,48.9494,0.1689
HIP 44376,Gaia DR3 585132295569511168,Gaia DR2 585132295569511168,Gaia DR1 585132256915718528,48.92,4.06,48.9558,0.0231
HIP 24783,Gaia DR3 2962193318618221056,Gaia DR2 2962193318618221056,Gaia DR1 2962193314320452352,49.34,2.13,48.9655,0.0142
HIP 66222,Gaia DR3 3714667225186824064,Gaia DR2 3714667225186824064,\N,48.78,1.62,48.9678,0.0257
HIP 36439,Gaia DR3 976893923544104576,Gaia DR2 976893923544104576,\N,50.25,0.81,49.0145,0.1406
HIP 101150,\N,Gaia DR2 1856712201709083136,\N,43.24,4.37,49.0286,0.9089
HIP 21770,Gaia DR3 4815660547961306112,Gaia DR2 4815660547961306112,\N,49.67,0.53,49.062,0.0937
HIP 108156,Gaia DR3 1898230241798771584,Gaia DR2 1898230241798771584,Gaia DR1 1898230237498458112,49.21,0.93,49.0785,0.023
HIP 68570,Gaia DR3 1229977414080680192,Gaia DR2 1229977414080680192,Gaia DR1 1229977409785837952,51.21,2.17,49.1193,0.0196
HIP 115341,Gaia DR3 1937923436193950080,Gaia DR2 1937923436193950080,Gaia DR1 1937923431894910720,47.66,0.96,49.1236,0.0181
HIP 58451,Gaia DR3 3494677900774838144,Gaia DR2 3494677900774838144,Gaia DR1 3494677999557554304,48.04,1.03,49.147,0.0235
HIP 45170,Gaia DR3 607464716759460480,Gaia DR2 607464716759460480,Gaia DR1 607464712464224384,48.83,0.92,49.1493,0.3467
HIP 104887,Gaia DR3 1964791583368233088,Gaia DR2 1964791583368232832,\N,47.8,0.61,49.16,0.4
HIP 110649,Gaia DR3 6408551802222368384,Gaia DR2 6408551797924824320,\N,48.81,0.61,49.1648,0.1075
HIP 22122,Gaia DR3 4784805056230587392,Gaia DR2 4784805056230587392,Gaia DR1 4784805051933952640,48.9,0.64,49.1798,0.0255
HIP 81375,Gaia DR3 4383374219923745024,Gaia DR2 4383374219923745024,Gaia DR1 4383374215627141632,49.63,0.92,49.2036,0.0222
HIP 113944,Gaia DR3 2212272649844661504,Gaia DR2 2212272649844661504,Gaia DR1 2212272645544614016,49.94,1.04,49.2046,0.0105
HIP 33852,Gaia DR3 978615483876384000,Gaia DR2 978615479962980480,\N,48.96,0.97,49.2428,0.0226
HIP 38657,Gaia DR3 670216834655936128,Gaia DR2 670216834655936128,Gaia DR1 670216830358639872,50.05,1.05,49.2443,0.2878
HIP 27803,Gaia DR3 3022099969137163904,Gaia DR2 3022099969137163904,Gaia DR1 3022099964839887872,49.74,1.66,49.2485,0.0185
HIP 41689,Gaia DR3 1090049716041842816,Gaia DR2 1090049716041842816,Gaia DR1 1090049711743739904,52.33,1.73,49.2888,0.0166
HIP 36215,Gaia DR3 866016662739803008,Gaia DR2 866016662739803008,\N,50.93,2.71,49.3444,0.0174
HIP 71855,Gaia DR3 5793182631952977920,Gaia DR2 5793182631952977920,Gaia DR1 5793182627653353472,49.15,0.64,49.3686,0.0156
HIP 45333,Gaia DR3 1040054235130174080,Gaia DR2 1040054235130174080,\N,51.12,0.72,49.4145,0.1544
HIP 94346,Gaia DR3 2143016302194287488,Gaia DR2 2143016302194287488,Gaia DR1 2143016263537915008,50.0,0.54,49.4679,0.0164
HIP 1532,Gaia DR3 2428162410789155328,Gaia DR2 2428162410789155328,Gaia DR1 2428162406493812992,48.17,1.73,49.4757,0.0178
HIP 105152,Gaia DR3 2689454850844597504,Gaia DR2 2689454850844597504,Gaia DR1 2689454850844597504,52.03,1.23,49.4804,0.0223
HIP 62374,Gaia DR3 1542683331386097280,Gaia DR2 1542683327089641600,\N,49.89,2.32,49.5087,0.0336
HIP 16445,Gaia DR3 41840029505514496,Gaia DR2 41840029505514496,\N,41.67,9.1,49.5329,0.0357
HIP 50505,Gaia DR3 806000816970521728,Gaia DR2 806000816970521728,Gaia DR1 806000812673038208,48.45,0.85,49.5415,0.0234
HIP 1842,Gaia DR3 4972971284318252160,Gaia DR2 4972971284318252160,\N,47.4,2.63,49.5628,0.0202
HIP 55625,Gaia DR3 3914019231742221568,Gaia DR2 3914019231742221568,Gaia DR1 3914019021288112640,47.1,2.37,49.5809,0.0189
HIP 102851,Gaia DR3 1858219151114884352,Gaia DR2 1858219151114884352,Gaia DR1 1858219146806619008,48.38,1.77,49.5944,0.0282
HIP 79796,Gaia DR3 1429437378934511616,Gaia DR2 1429437378934511616,\N,48.36,1.16,49.6303,0.4245
HIP 9044,Gaia DR3 4714571105305843456,Gaia DR2 4714571105305843456,Gaia DR1 4714571101010006016,50.76,0.78,49.7123,0.0192
HIP 113421,Gaia DR3 2648914040357320576,Gaia DR2 2648914040357320576,Gaia DR1 2648914036061905664,50.71,0.75,49.7846,0.0263
HIP 82694,Gaia DR3 4448223656247483904,Gaia DR2 4448223656247483904,Gaia DR1 4448223583232279552,52.43,1.97,49.8011,0.0147
HIP 63366,Gaia DR3 3626268998574790656,Gaia DR2 3626268998574790656,Gaia DR1 3626268994279065984,47.6,0.86,49.8263,0.3896
HIP 71311,Gaia DR3 1287752248996223488,Gaia DR2 1287752248996223488,Gaia DR1 1287752244699077760,49.11,1.27,49.8852,0.0136
HIP 100490,Gaia DR3 6467586746181270528,Gaia DR2 6467586746180725248,\N,50.36,1.84,49.9215,0.0235
HIP 117779,Gaia DR3 2867175035571212416,Gaia DR2 2867175035571212416,Gaia DR1 2867175031275068032,44.62,3.88,50.2282,0.0153
HIP 95149,Gaia DR3 6742873637093574400,Gaia DR2 6742873637093574400,\N,47.95,1.28,50.2864,0.3959
HIP 54651,Gaia DR3 3566643651231641600,Gaia DR2 3566643651231641600,Gaia DR1 3566642891022205440,47.85,1.26,50.3036,0.0166
HIP 117197,Gaia DR3 2879203933297161088,Gaia DR2 2879203933297161088,Gaia DR1 2879204135159457152,50.78,1.58,50.3962,0.0158
HIP 107346,Gaia DR3 1954559047126247808,Gaia DR2 1954559047126247808,Gaia DR1 1954559042827189504,49.27,1.43,50.4101,0.0137
HIP 112120,Gaia DR3 2832827391830929920,Gaia DR2 2832827391829986432,\N,47.13,2.96,50.4653,0.0411
HIP 10072,Gaia DR3 5148602083419126016,Gaia DR2 5148602083419126016,\N,50.34,3.34,50.5071,0.0265
HIP 25119,Gaia DR3 3234412606443085824,Gaia DR2 3234412606443085824,\N,50.24,1.52,50.5171,0.0368
HIP 83405,Gaia DR3 4364314662596822528,Gaia DR2 4364314662596822528,Gaia DR1 4364314662596822528,44.29,8.22,50.5513,0.0198
HIP 62229,Gaia DR3 6060965699625586176,Gaia DR2 6060965699625586176,Gaia DR1 6060965695299412608,49.71,0.95,50.5533,0.0201
HIP 59296,Gaia DR3 6143175840408947840,Gaia DR2 6143175840404555008,Gaia DR1 6143175870468129664,49.72,1.0,50.5536,0.0248
HIP 98505,Gaia DR3 1827242816201846144,Gaia DR2 1827242816201846144,Gaia DR1 1827242811876888960,51.94,0.87,50.5668,0.0162
HIP 115123,Gaia DR3 6490470881687779968,Gaia DR2 6490470881687779968,Gaia DR1 6490470877392551040,51.97,1.17,50.6228,0.0182
HIP 65669,Gaia DR3 6189329043571426944,Gaia DR2 6189329043571426944,Gaia DR1 6189329039276660352,48.04,2.95,50.6361,0.0263
HIP 38625,Gaia DR3 3082317193037072256,Gaia DR2 3082317193037072256,\N,52.01,1.85,50.7142,0.5135
HIP 75277,Gaia DR3 1209182041427374080,Gaia DR2 1209182041427374080,Gaia DR1 1209182037131690496,49.67,0.92,50.7454,0.018
HIP 70857,Gaia DR3 1721626615421969408,Gaia DR2 1721626615421969408,\N,51.04,0.58,50.7601,0.434
HIP 113602,Gaia DR3 2384000217021721600,Gaia DR2 2384000217021721600,Gaia DR1 2384000212726694144,49.15,3.03,50.7631,0.019
HIP 113605,Gaia DR3 2383999392388000640,Gaia DR2 2383999392388000640,Gaia DR1 2383999388092465280,49.36,3.19,50.7776,0.0172
HIP 59072,Gaia DR3 6053245135154609280,Gaia DR2 6053245135151088512,\N,50.79,0.51,50.7919,0.1049
HIP 102357,Gaia DR3 1814070838667074560,Gaia DR2 1814070838668707840,\N,50.18,1.99,50.8044,0.5725
HIP 109812,Gaia DR3 1892539307049423872,Gaia DR2 1892539307048908928,Gaia DR1 1892539302752452864,50.56,1.68,50.8194,0.0269
HIP 3261,Gaia DR3 5006921282807193856,Gaia DR2 5006921282807193856,Gaia DR1 5006921312871229184,50.29,1.93,50.9245,0.0197
HIP 27321,Gaia DR3 4792774797545800832,Gaia DR2 4792774797545105664,\N,51.87,0.51,50.9307,0.1482
HIP 46626,Gaia DR3 5630532113072532736,Gaia DR2 5630532113072532736,Gaia DR1 5630532113072532736,51.71,0.91,50.9427,0.0189
HIP 99711,Gaia DR3 4224259562941398400,Gaia DR2 4224259562941398400,Gaia DR1 4224259489925754880,50.27,1.13,50.9432,0.023
HIP 42430,Gaia DR3 5702029029197580160,Gaia DR2 5702029063555481088,\N,50.2,0.98,50.9663,0.3068
HIP 85042,Gaia DR3 4367026303085396352,Gaia DR2 4367026303085396352,Gaia DR1 4367026298788236288,51.39,0.85,50.9694,0.0251
HIP 14555,Gaia DR3 5059643105878789632,Gaia DR2 5059643105878789632,Gaia DR1 5059643101581389696,52.38,5.03,51.0086,0.0187
HIP 29800,Gaia DR3 3331979901042416512,Gaia DR2 3331979901042416512,\N,51.0,0.9,51.0518,0.0969
HIP 34890,Gaia DR3 5285775539195330560,Gaia DR2 5285775539195330560,\N,50.02,0.95,51.0539,0.0156
HIP 75718,Gaia DR3 6317854874752594048,Gaia DR2 6317854874752594048,\N,50.34,1.11,51.1421,0.737
HIP 113850,Gaia DR3 6514632718428652928,Gaia DR2 6514632718428652928,Gaia DR1 6514632714132402304,48.15,1.93,51.1494,0.0175
HIP 112527,Gaia DR3 2299942278201276288,Gaia DR2 2299942278201276288,Gaia DR1 2299942273904859264,50.15,0.64,51.1561,0.0184
HIP 98130,Gaia DR3 6748283784056800384,Gaia DR2 6748283784056800384,Gaia DR1 6748283779757924352,52.11,1.14,51.1573,0.025
HIP 73996,Gaia DR3 1264630412816366720,Gaia DR2 1264630412816366720,\N,50.7,0.76,51.1875,0.0879
HIP 82396,Gaia DR3 6026152137856166912,\N,\N,49.85,0.81,51.19,0.22
HIP 76315,Gaia DR3 1603267143629157120,Gaia DR2 1603267143629157120,Gaia DR1 1603267139333476864,52.43,0.74,51.2222,0.0171
HIP 57959,Gaia DR3 3595317540095019520,Gaia DR2 3595317540095019520,\N,48.63,3.34,51.249,0.0322
HIP 97675,Gaia DR3 4303294039306246656,Gaia DR2 4303294039306246656,\N,51.57,0.77,51.3133,0.0898
HIP 40702,Gaia DR3 5210240327318434304,Gaia DR2 5210240323024349440,\N,51.4,0.49,51.3172,0.0981
HIP 8796,Gaia DR3 299464296907113984,Gaia DR2 299464296906886016,\N,50.87,0.82,51.331,0.5563
HIP 25544,Gaia DR3 4759543295545939840,Gaia DR2 4759543295545939840,Gaia DR1 4759543291250191232,51.1,0.52,51.3371,0.0175
HIP 103859,Gaia DR3 2163558855915068416,Gaia DR2 2163558855915068416,Gaia DR1 2163561806539895936,51.65,0.72,51.3935,0.018
HIP 39757,Gaia DR3 5698015743046182272,Gaia DR2 5698015743040715264,\N,51.99,0.66,51.3999,0.2445
HIP 69824,Gaia DR3 1505214930047542784,Gaia DR2 1505214930047542784,Gaia DR1 1505214925751800448,53.64,1.33,51.4578,0.0131
HIP 38910,Gaia DR3 5594041731633230720,Gaia DR2 5594041731633230720,\N,54.62,4.31,51.4977,0.5547
HIP 110778,\N,Gaia DR2 2595463996992115840,\N,49.8,2.54,51.5079,0.1296
HIP 107089,Gaia DR3 6356375508718385024,Gaia DR2 6356375508717699584,\N,47.22,2.9,51.5172,0.6525
HIP 9236,Gaia DR3 4713424658275847168,Gaia DR2 4713424658274227456,\N,45.74,0.55,51.5547,0.8303
HIP 1720,Gaia DR3 4978625041828782848,Gaia DR2 4978625041828782848,Gaia DR1 4978625037532840832,50.1,3.98,51.5693,0.0446
HIP 57459,Gaia DR3 3573119499842945280,Gaia DR2 3573119564265842432,\N,48.95,3.0,51.5762,0.0427
HIP 11565,Gaia DR3 5130446359011574528,Gaia DR2 5130446359011574528,\N,52.9,1.95,51.6064,0.136
HIP 29860,Gaia DR3 3317901165746471552,Gaia DR2 3317901165746471552,\N,51.76,0.78,51.6165,0.1235
HIP 92043,Gaia DR3 4530744134231683840,Gaia DR2 4530744134230193280,\N,52.37,0.68,51.6743,0.1214
HIP 72312,Gaia DR3 3655492127855307136,Gaia DR2 3655492127855307136,\N,50.84,1.04,51.7643,0.0262
HIP 112800,Gaia DR3 1891459758430361088,Gaia DR2 1891459758427316352,\N,52.82,3.04,51.7718,0.0362
HIP 100925,Gaia DR3 6796392812250051712,Gaia DR2 6796392812250051712,Gaia DR1 6796392807953306624,51.5,0.82,51.7989,0.0192
HIP 56829,Gaia DR3 772395274857111552,Gaia DR2 772395274857111552,Gaia DR1 772395270561409920,50.61,1.15,51.8077,0.1151
HIP 15774,Gaia DR3 4737533237421005952,Gaia DR2 4737533237421005952,Gaia DR1 4737533233124796672,50.64,1.73,51.8155,0.0142
HIP 15771,Gaia DR3 4737533134341791872,Gaia DR2 4737533134341791872,Gaia DR1 4737533130046024960,50.16,5.62,51.8252,0.012
HIP 54677,Gaia DR3 3562962623740696576,Gaia DR2 3562962623740696576,\N,44.0,1.93,51.8748,0.66
HIP 7235,Gaia DR3 5038817840251308288,Gaia DR2 5038817840251308288,Gaia DR1 5038817835954995584,51.27,0.88,51.9067,0.0214
HIP 67153,Gaia DR3 6171375049483037696,Gaia DR2 6171375049482587776,\N,51.91,0.75,51.9074,0.2259
HIP 98677,Gaia DR3 1807953155988203264,Gaia DR2 1807953155988203264,Gaia DR1 1807953151672835712,51.71,0.83,51.9167,0.0184
HIP 40375,Gaia DR3 650337664425397632,Gaia DR2 650337664425397632,Gaia DR1 650337660128201472,54.53,1.26,51.9745,0.0248
HIP 1092,Gaia DR3 565169459378433152,Gaia DR2 565169459378433152,Gaia DR1 565169523801313664,51.12,3.31,51.9777,0.0157
HIP 31555,Gaia DR3 5570642264461522048,Gaia DR2 5570642264461522048,Gaia DR1 5570642264461522048,51.51,1.52,51.9998,0.1878
HIP 57361,Gaia DR3 3542490095189596544,Gaia DR2 3542490095189596544,Gaia DR1 3542490090892828032,49.63,3.55,52.0845,0.1521
HIP 115445,Gaia DR3 2436812303124645504,Gaia DR2 2436812303124645504,Gaia DR1 2436812298829164288,51.37,1.25,52.1643,0.0275
HIP 71957,Gaia DR3 6337717036911729024,Gaia DR2 6337717036910714112,\N,53.54,0.95,52.1815,0.3855
HIP 110400,Gaia DR3 6404403585367962752,Gaia DR2 6404403585367962752,Gaia DR1 6404403477993572352,62.4,3.67,52.1842,0.0189
HIP 25775,Gaia DR3 4805806449875760384,Gaia DR2 4805806449875760384,Gaia DR1 4805806445579062400,51.56,3.73,52.1963,0.0123
HIP 75201,Gaia DR3 6335064087152916224,Gaia DR2 6335064087152916224,\N,52.95,1.55,52.21,0.0166
HIP 1860,Gaia DR3 540136568911394944,Gaia DR2 540136568911394944,Gaia DR1 540136495894234496,50.71,2.72,52.2692,0.0118
HIP 90945,Gaia DR3 6651058467639413248,Gaia DR2 6651058467639413248,Gaia DR1 6651058467639413248,53.0,1.18,52.2903,0.0223
HIP 33955,Gaia DR3 3052753116376444800,Gaia DR2 3052753116376444800,Gaia DR1 3052753112072827136,53.47,1.13,52.3188,0.0195
HIP 17750,\N,Gaia DR2 493650660396520064,\N,57.53,2.68,52.3391,0.6475
HIP 89825,Gaia DR3 4270814637616488064,Gaia DR2 4270814637616488064,Gaia DR1 4270814633314361856,51.81,1.43,52.3963,0.0171
HIP 102235,Gaia DR3 6858312737278836736,Gaia DR2 6858312737278836736,\N,50.17,13.14,52.4349,0.0195
HIP 89962,Gaia DR3 4269932382607207040,Gaia DR2 4269932382606282112,\N,52.81,0.75,52.4413,0.2036
HIP 86141,Gaia DR3 1651235193817400448,Gaia DR2 1651235193817400448,Gaia DR1 1651235189525287168,52.57,0.73,52.4929,0.0167
HIP 73786,Gaia DR3 1156846524895814144,Gaia DR2 1156846524895814144,Gaia DR1 1156846520599860480,52.11,1.97,52.5048,0.0235
HIP 98921,Gaia DR3 2061876742143320064,Gaia DR2 2061876742143320064,Gaia DR1 2061876737816679808,52.99,0.55,52.5334,0.0295
HIP 14165,Gaia DR3 5152365363828101632,Gaia DR2 5152365363828101632,Gaia DR1 5152365363828101632,47.81,3.85,52.6437,0.0343
HIP 82283,Gaia DR3 4134107168607042816,Gaia DR2 4134107168607042816,\N,55.09,2.22,52.6543,0.0198
HIP 4012,Gaia DR3 424422281584852352,Gaia DR2 424422281584852352,Gaia DR1 424424854261983616,54.23,2.12,52.6723,0.0138
HIP 110534,Gaia DR3 6504705571539380992,Gaia DR2 6504705571539380992,Gaia DR1 6504705567242765440,51.57,1.98,52.6948,0.0179
HIP 34392,Gaia DR3 1102868303634261632,Gaia DR2 1102868303634261632,Gaia DR1 1102868299337845632,56.51,2.19,52.7203,0.1031
HIP 44897,Gaia DR3 714116137767540096,Gaia DR2 714116137767540096,\N,52.25,0.87,52.7709,0.0309
HIP 34017,Gaia DR3 887822001246832384,Gaia DR2 887822001246832384,\N,52.37,0.84,52.7712,0.0438
HIP 115147,Gaia DR3 2282846074981010688,Gaia DR2 2282846074981010688,Gaia DR1 2282846070684855808,50.65,0.64,52.7838,0.0137
HIP 4151,Gaia DR3 427322415301550208,Gaia DR2 427322415301550208,\N,53.85,0.6,52.9017,0.1037
HIP 910,Gaia DR3 2416611663182821120,Gaia DR2 2416611663182555904,\N,52.94,0.77,52.9489,0.0958
HIP 33428,Gaia DR3 888957972853029632,Gaia DR2 888957972853029632,\N,53.67,1.86,52.9767,0.0182
HIP 3850,Gaia DR3 2348830516542653824,Gaia DR2 2348830516542120192,Gaia DR1 2348830512245670912,53.09,1.02,53.0526,0.0282
HIP 48113,Gaia DR3 821455861647126656,Gaia DR2 821455861647126656,\N,54.26,0.74,53.1277,0.0773
HIP 90656,Gaia DR3 4270446404294208000,Gaia DR2 4270446404294208000,Gaia DR1 4270446399996785280,53.3,1.05,53.1586,0.0295
HIP 72146,Gaia DR3 1185619988280226944,Gaia DR2 1185619988280226944,Gaia DR1 1185619983984496896,51.2,0.98,53.1607,0.0213
HIP 19422,Gaia DR3 493935296471302784,Gaia DR2 493935296471302784,Gaia DR1 493935292173022208,54.17,0.79,53.2562,0.017
HIP 62472,Gaia DR3 3498481519515679872,Gaia DR2 3498481519515679872,Gaia DR1 3498481519515679872,50.31,3.19,53.3334,0.0255
HIP 44248,Gaia DR3 816649002967779584,Gaia DR2 816649002967779584,\N,60.86,1.3,53.3618,0.8091
HIP 54373,Gaia DR3 3552000252294347392,Gaia DR2 3552000252294347392,\N,53.75,1.94,53.3784,0.0164
HIP 62471,Gaia DR3 3498481592531208576,Gaia DR2 3498481592531208576,Gaia DR1 3498481588235156480,53.29,9.2,53.3987,0.0195
HIP 18859,Gaia DR3 3256786534197166208,Gaia DR2 3256786534197166208,\N,52.0,0.75,53.4559,0.0702
HIP 21086,Gaia DR3 3177407910705445888,Gaia DR2 3177407910705445888,Gaia DR1 3177407975129196928,49.73,3.24,53.4785,0.0192
HIP 15095,Gaia DR3 5073448642595674752,Gaia DR2 5073448642595674752,Gaia DR1 5073448638299000832,54.48,1.39,53.5543,0.0178
HIP 12709,Gaia DR3 84675937371332608,Gaia DR2 84675937371332608,\N,53.89,1.27,53.5579,0.1814
HIP 32919,Gaia DR3 954713853434626176,Gaia DR2 954713853434626176,\N,53.12,1.23,53.6322,0.0178
HIP 7170,Gaia DR3 5042734468172061440,Gaia DR2 5042734468172061440,Gaia DR1 5042734468172061440,56.42,2.12,53.6727,0.0259
