HIP,designation_DR3,designation_DR2,designation_DR1,hipparcos_parallax,hipparcos_parallax_error,simbad_parallax,simbad_parallax_error
HIP 96258,Gaia DR3 2136027771930903808,Gaia DR2 2136027771930903808,\N,39.08,0.47,39.3227,0.028
HIP 34567,Gaia DR3 882872210352301568,Gaia DR2 882872210352301568,Gaia DR1 882872206055476736,40.68,1.02,39.3515,0.1367
HIP 63762,Gaia DR3 1728599752525089408,Gaia DR2 1728599752525089408,Gaia DR1 1728599748229472000,41.12,0.76,39.3725,0.0851
HIP 115126,Gaia DR3 2411855072801158656,Gaia DR2 2411855072801158656,\N,48.22,5.25,39.4019,1.0568
HIP 54803,Gaia DR3 3804108716535576960,Gaia DR2 3804108716535576960,\N,41.49,2.03,39.42,2.03
HIP 8190,Gaia DR3 351045720262686080,Gaia DR2 351045720262686080,\N,40.43,2.67,39.4243,0.0241
HIP 23941,Gaia DR3 3212075924646082176,Gaia DR2 3212075924646082176,\N,39.99,0.7,39.4394,0.093
HIP 63257,Gaia DR3 3524996177995941632,Gaia DR2 3524996177995941632,\N,43.13,1.32,39.4978,0.389
HIP 62956,Gaia DR3 1576683529448755328,\N,\N,40.3,0.62,39.51,0.2
HIP 74605,Gaia DR3 1645425614893967744,Gaia DR2 1645425614893967744,Gaia DR1 1645425610597706112,39.51,0.47,39.5487,0.0648
HIP 99880,Gaia DR3 2080826374043095552,Gaia DR2 2080826374043095552,Gaia DR1 2080826374043095552,40.97,1.21,39.5574,0.011
HIP 36927,Gaia DR3 5492574125690123264,Gaia DR2 5492574125690123264,Gaia DR1 5492574121392001664,39.66,0.8,39.5637,0.0139
HIP 3170,Gaia DR3 4906784051581971200,Gaia DR2 4906784051581554560,\N,39.26,0.56,39.5912,0.041
HIP 48509,Gaia DR3 826957061916956544,Gaia DR2 826957061916956544,Gaia DR1 826957057622290048,39.75,3.27,39.6032,0.0206
HIP 41802,Gaia DR3 3064885260813278336,Gaia DR2 3064885260813278336,\N,46.02,6.28,39.6192,0.0693
HIP 32765,Gaia DR3 5557816190743628416,Gaia DR2 5557816190743628416,\N,39.66,0.53,39.6665,0.0708
HIP 90376,Gaia DR3 2294149672988951680,Gaia DR2 2294149672988951680,Gaia DR1 2294149668692602880,40.98,0.89,39.6716,0.0133
HIP 103544,Gaia DR3 1866522319330814592,Gaia DR2 1866522319327259136,Gaia DR1 1866522315019734784,42.8,2.23,39.6776,0.0207
HIP 73100,Gaia DR3 1592338513445876608,Gaia DR2 1592338513445876608,Gaia DR1 1592338509149257600,40.25,0.54,39.7477,0.0389
HIP 74975,Gaia DR3 4421455530273900032,Gaia DR2 4421455530273467392,\N,40.46,0.81,39.7954,0.0807
HIP 112245,Gaia DR3 2211393521580984320,Gaia DR2 2211393521580984320,Gaia DR1 2211393517279840896,39.82,0.71,39.796,0.0141
HIP 94981,Gaia DR3 2051069711047203712,Gaia DR2 2051069711047203712,Gaia DR1 2051069706747074688,39.64,0.56,39.8305,0.0925
HIP 33373,Gaia DR3 950395658954590080,Gaia DR2 950395658954590080,Gaia DR1 950395654660064896,41.53,1.41,39.8698,0.0228
HIP 10925,Gaia DR3 4963661822446609792,Gaia DR2 4963661822446609792,\N,39.3,1.07,39.9014,0.1665
HIP 65477,Gaia DR3 1565090003967879424,Gaia DR2 1565090003969283968,\N,40.19,0.57,39.91,0.13
HIP 70308,Gaia DR3 5846770973285176960,Gaia DR2 5846770973285176960,Gaia DR1 5846770968964962560,42.29,1.47,39.9221,0.2117
HIP 4454,Gaia DR3 532855499837123584,Gaia DR2 532855499837123584,Gaia DR1 532855495538626176,41.45,1.01,39.9285,0.0117
HIP 59280,Gaia DR3 1536064958579187840,Gaia DR2 1536064958579187840,Gaia DR1 1536064954283597696,41.07,0.98,39.9292,0.0207
HIP 21223,Gaia DR3 4865826693691966464,Gaia DR2 4865826693691482496,\N,39.93,0.93,39.9733,0.0173
HIP 83451,Gaia DR3 1437124683199761920,Gaia DR2 1437124683199761920,Gaia DR1 1437124678903935744,39.71,1.57,39.9765,0.015
HIP 64550,Gaia DR3 6088054505011960832,Gaia DR2 6088054505011960832,Gaia DR1 6088054500713602560,40.87,0.84,39.9859,0.0222
HIP 116491,Gaia DR3 6523442177391053312,Gaia DR2 6523442177391053312,Gaia DR1 6523442173093167360,42.13,1.67,39.991,0.0178
HIP 83454,Gaia DR3 1437124683199762304,Gaia DR2 1437124683199762304,\N,40.18,4.76,39.9955,0.0122
HIP 29067,Gaia DR3 1105408965770145920,Gaia DR2 1105408965770145920,Gaia DR1 1105408961471405312,40.12,1.78,40.0653,0.0138
HIP 114252,Gaia DR3 2410011260521088512,Gaia DR2 2410011256225662208,Gaia DR1 2410011256225662208,45.75,2.6,40.0995,0.0235
HIP 114886,Gaia DR3 1909581805999126784,Gaia DR2 1909581805999126784,Gaia DR1 1909581801702706560,41.33,0.97,40.1543,0.02
HIP 28360,\N,Gaia DR2 196656661174768512,\N,39.72,0.78,40.21,0.23
HIP 33537,Gaia DR3 3379989457790428416,Gaia DR2 3379989457790428416,Gaia DR1 3379989453493244032,41.25,0.88,40.2733,0.0192
HIP 114570,Gaia DR3 1990723839987250176,Gaia DR2 1990723839987250176,\N,40.82,0.57,40.294,0.113
