designation,HIP,HD,ra,declination,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,Mg,Mg_error,MRp,MRp_error,Bp_minus_Rp
Gaia DR3 2282846074981011328,\N,220140B,349.857,79.00133361746124,52.83969267459712,0.021274867,218.07965,209.25030510421288,61.42512797666475,1.2338614,10.915274,12.410884,9.7068815,3038.7092,3038.454,3039.2214,3.8291,3.8281,3.8325,-0.7529,-0.7538,-0.7514,18.9131,18.9043,18.9219,9.530075415064951,0.0008743008686202813,8.321682915064951,0.000874300868618505,2.7040025
Gaia DR3 3181197137010596480,\N,\N,71.7147,-11.28005105042532,52.84893356612123,0.039101437,147.06816,-140.9014125494107,-42.14069109579764,2.0944052,12.224739,13.488194,10.717109,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,10.839920140712806,0.0016066115507298306,9.332290140712807,0.0016066115507298306,2.771085
Gaia DR3 2528227035593363840,\N,\N,8.22173,-4.569270815894982,52.85286769620325,0.099547,154.7005,81.74754643057034,-131.33766726918782,3.505935,12.549433,14.240423,11.200607,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,11.164775781381753,0.004089916573775554,9.815949781381754,0.004089916573775554,3.039816
Gaia DR3 1668113865533954816,\N,\N,213.71,64.21067895053532,52.85342982801519,0.023545941,347.75745,9.315989803231702,-347.6326467715604,1.3330317,14.060478,16.018038,12.748784,3009.479,3006.9934,3010.206,5.1335,5.1281,5.1344,-0.3811,-0.3849,-0.3642,18.8854,18.8639,18.9863,12.675843876575676,0.000967380258697581,11.364149876575677,0.000967380258697581,3.269254
Gaia DR3 5970137861534914304,\N,153026B,254.727,-39.55657409210598,52.85519908423353,0.0155452825,351.176,276.25208765426805,216.81641176808088,0.96191496,9.771798,10.732088,8.756553,3507.4326,3499.4663,3536.415,4.2557,4.2261,4.3524,-0.7851,-0.8236,-0.6456,18.9082,18.8918,19.0258,8.387236564890781,0.0006386534078970385,7.371991564890782,0.0006386534078970385,1.975535
Gaia DR3 1239625559894563968,\N,\N,215.377,18.460518663394787,52.86233842696793,0.14796853,771.6,-753.6358642306657,-165.52791660629217,0.96420205,17.839024,19.97857,16.24612,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,16.45475585370848,0.0060782483163599466,14.861851853708483,0.006078248316360835,3.73245
Gaia DR3 1650819612781643392,\N,\N,262.045,71.14096957434231,52.88296002872402,0.01685516,203.06973,-196.64739094564848,50.66674760122711,1.2655487,12.587955,14.039229,11.410094,3100.0505,3099.3188,3105.5115,4.5335,4.5309,4.5532,-0.8392,-0.8424,-0.8139,18.8998,18.8863,18.9333,11.2045337800584,0.0006921041507030878,10.0266727800584,0.0006921041507030878,2.629135
Gaia DR3 1104878103513141760,\N,\N,90.6104,66.34230092025918,52.8878603067844,0.021436347,582.9508,339.50133272043604,-473.8887155774749,1.1613275,13.014433,14.842112,11.734163,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,11.631212985241095,0.0008801346537810062,10.350942985241094,0.0008801346537810062,3.107949
Gaia DR3 6039144001564707072,\N,\N,243.589,-28.51168625417652,52.89193245982511,0.02735501,532.1943,-410.319371801805,-338.92295852074994,1.2998837,11.715765,13.197272,10.518771,3087.4297,3086.618,3090.002,4.2738,4.2712,4.2858,-0.6672,-0.6699,-0.6575,18.9493,18.8756,18.9669,10.332712173467662,0.0011230569958549097,9.135718173467659,0.0011230569958540215,2.678501
Gaia DR3 427322415301550208,HIP 4151,5015,13.2669,61.124725084691256,52.90172947588015,0.10367748,182.68234,-68.29788024616091,169.4350591237973,1.0771353,4.6359124,4.9266615,4.1987586,5986.044,5984.9595,5987.079,4.079,4.0774,4.081,-0.3088,-0.318,-0.3,18.8669,18.8061,18.9091,3.2532617516271207,0.004255684601888632,2.81610795162712,0.004255684601888632,0.7279029
Gaia DR3 5970137861534914176,\N,153026A,254.727,-39.55755123182622,52.902650811712704,0.020730194,351.85477,271.0554648580949,224.34505416365468,0.86938083,8.068568,8.686857,7.315724,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,6.685955169633047,0.0008509034221964029,5.933111169633046,0.0008509034221964029,1.371133
Gaia DR3 991713927241075840,\N,\N,100.957,51.13495365951942,52.904678252357,0.057830084,916.52466,104.92862821295807,-910.4984694416128,1.4866871,12.560951,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,11.17842138752467,0.0023736366236413176,\N,\N,\N
Gaia DR3 4554019214828782848,\N,\N,262.595,19.208516712601973,52.9060841777453,0.02008248,395.13992,381.9095556831808,-101.3935427385556,1.2653193,12.416245,13.782025,11.266875,3124.0696,3123.1282,3135.06,4.4696,4.4673,4.5057,-0.9439,-0.9463,-0.9018,18.911,18.8915,19.0238,11.033773092962578,0.0008242634851338693,9.884403092962577,0.0008242634851338693,2.51515
