designation,HIP,simbad_HIP,simbad_HD,in_Simbad,right_ascension,declination,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper
Gaia DR3 4269379774976572160,\N,\N,\N,0,286.95038827170777,4.287781177750233,84.38761404741018,2.4856355,19.28438,-19.260338540374427,-0.9626455093940912,2.2140832,20.029032000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4271449399415019904,\N,\N,\N,1,275.2359400508666,-1.0535607111655672,56.217909246635614,0.04908373,1107.9949,-528.7143839698111,-973.711263528687,1.0356269,12.295122000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4283084190940885888,\N,\N,\N,1,279.04574539279565,3.2570365969799275,54.879839684143235,0.5764095,308.90594,255.0874810558715,174.2218574203679,1.1386391,19.897444000000000000000000000000,\N,18.201824000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 429297859741477888,\N,\N,\N,1,1.9308182403086505,60.38161993916557,65.21307301880952,0.12851872,368.6124,363.32183402517376,-62.22814734321896,1.2169175,12.988087000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4307917069079963520,\N,\N,\N,0,290.28460244607606,8.414965325886863,49.66240543268066,2.4369812,17.66808,-17.619881549916975,-1.304152367563506,2.042587,19.907840000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4312560959515687936,\N,\N,\N,0,286.0123452231708,10.81627582048736,42.43304580234558,3.3468115,8.11894,-5.157991274000636,-6.26995421105444,2.520267,20.463640000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4313112368918913024,\N,\N,\N,0,287.2473291267738,11.805881284506569,44.01821091400421,2.2981524,3.1700268,-0.5649979862486925,-3.1192703612320303,2.2018425,20.093605000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4315860014088228864,\N,\N,\N,0,290.4381164045846,11.602627839351593,62.09269974893298,3.898048,21.56345,2.014050414263352,-21.46918696479387,1.4757366,20.840277000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4318384355378007424,\N,\N,\N,0,294.0057292155468,15.59871595756036,101.08168901119824,3.468207,69.05083,34.900057630800106,-59.581901947996066,1.3777858,20.618402000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 4371611781971072768,\N,\N,\N,1,267.6016120498805,-0.2699546483235058,108.58090208988928,0.19848228,443.8224,-397.4972227831272,197.4189999392644,1.053295,\N,\N,16.678308000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
