"Gaia DR3 3980560507224374400","","56238"
"Gaia DR3 2372192767809294592","",""
"Gaia DR3 3223516063958808064","","26081"
"Gaia DR3 6866310172545095424","191391","99385"
"Gaia DR3 549890302202250112","",""
"Gaia DR3 2372192389852176768","",""
"Gaia DR3 2473608009504466688","4813","3909"
"Gaia DR3 2788769028896753664","",""
"Gaia DR3 2999254213453678720","",""
"Gaia DR3 6124711741640147712","","69285"
"Gaia DR3 5075243629687810560","",""
"Gaia DR3 1537992501630401920","107596","60303"
"Gaia DR3 830239138487431808","","51525"
"Gaia DR3 68553931516671488","",""
"Gaia DR3 1384195086792268800","142373","77760"
"Gaia DR3 6006981087424136576","",""
"Gaia DR3 2029433521248546304","190360","98767"
"Gaia DR3 2222540228723911168","",""
"Gaia DR3 5925209514333720832","",""
"Gaia DR3 2889899840676982912","",""
"Gaia DR3 4250327300012527872","",""
"Gaia DR3 25488745411919360","17230","12929"
"Gaia DR3 3407611182744289152","32923","23835"
"Gaia DR3 4475881317196185728","",""
"Gaia DR3 5320435203722048768","","39987"
"Gaia DR3 530158019855216896","","2120"
"Gaia DR3 2497858563088120448","",""
"Gaia DR3 3920481233377933824","",""
"Gaia DR3 5291028284195365632","65907B",""
"Gaia DR3 5291028181119851776","65907","38908"
"Gaia DR3 6890353330746858368","","103388"
"Gaia DR3 4856592239127350400","23484","17439"
"Gaia DR3 5463554406059006336","","49091"
"Gaia DR3 1743592452563243136","202575","105038"
"Gaia DR3 6623761137270596992","","111391"
"Gaia DR3 5115463180914712448","",""
"Gaia DR3 5856411869205581568","109200","61291"
"Gaia DR3 6367463327570835328","",""
"Gaia DR3 551050046451136256","24451","18774"
"Gaia DR3 1672538231604762624","",""
"Gaia DR3 3269132022551595264","",""
"Gaia DR3 5205029672996886016","90589","50954"
"Gaia DR3 6093381604489726848","120780","67742"
"Gaia DR3 569821974111727744","",""
"Gaia DR3 6554995893362365952","",""
"Gaia DR3 6421374031949679744","",""
"Gaia DR3 6913810483612308480","","103393"
"Gaia DR3 1176209886733406592","128311","71395"
"Gaia DR3 2063967910147595008","",""
"Gaia DR3 4673947174316727040","21749","16069"
"Gaia DR3 5471516004114550784","",""
