HIP,designation_DR3,designation_DR2,designation_DR1,Plx,e_Plx,simbad_parallax,simbad_parallax_error,simbad_distance_parallax
HIP 108092,Gaia DR3 1960390203963541760,Gaia DR2 1960390203963541760,Gaia DR1 1960390199663139456,43.07,1.55,39.3117,0.0119000003,25.4377
HIP 55507,Gaia DR3 788340461203094912,Gaia DR2 788340461203094912,Gaia DR1 788340834864017408,40.36,1.48,39.3187,0.0147000002,25.4332
HIP 96258,Gaia DR3 2136027771930903808,Gaia DR2 2136027771930903808,\N,39.08,0.47,39.3227,0.0280000009,25.4306
HIP 34567,Gaia DR3 882872210352301568,Gaia DR2 882872210352301568,Gaia DR1 882872206055476736,40.68,1.02,39.3515,0.1367000043,25.412
HIP 63762,Gaia DR3 1728599752525089408,Gaia DR2 1728599752525089408,Gaia DR1 1728599748229472000,41.12,0.76,39.3725,0.0851000026,25.3984
HIP 115126,Gaia DR3 2411855072801158656,Gaia DR2 2411855072801158656,\N,48.22,5.25,39.4019,1.0568000078,25.3795
HIP 54803,Gaia DR3 3804108716535576960,Gaia DR2 3804108716535576960,\N,41.49,2.03,39.42,2.0299999714,25.3678
HIP 8190,Gaia DR3 351045720262686080,Gaia DR2 351045720262686080,\N,40.43,2.67,39.4243,0.0241,25.3651
HIP 23941,Gaia DR3 3212075924646082176,Gaia DR2 3212075924646082176,\N,39.99,0.7,39.4394,0.0930000022,25.3554
HIP 63257,Gaia DR3 3524996177995941632,Gaia DR2 3524996177995941632,\N,43.13,1.32,39.4978,0.3889999986,25.3179
HIP 62956,Gaia DR3 1576683529448755328,\N,\N,40.3,0.62,39.51,0.200000003,25.31
HIP 74605,Gaia DR3 1645425614893967744,Gaia DR2 1645425614893967744,Gaia DR1 1645425610597706112,39.51,0.47,39.5487,0.0648000017,25.2853
HIP 99880,Gaia DR3 2080826374043095552,Gaia DR2 2080826374043095552,Gaia DR1 2080826374043095552,40.97,1.21,39.5574,0.0109999999,25.2797
HIP 36927,Gaia DR3 5492574125690123264,Gaia DR2 5492574125690123264,Gaia DR1 5492574121392001664,39.66,0.8,39.5637,0.0138999997,25.2757
