designation,ra,dec,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper
"Gaia DR3 1209281444150517120",233.82906634288568,17.717133629282703,66.92910252686589,0.019998355,1221.5641,-1209.510353669511,-171.18238775831105,1.4279274,13.425289,15.272576,12.143821,3002.6665,3000.4321,3009.5483,5.0175,4.9889,5.0254,-0.5201,-0.6136,-0.5052,14.9533,14.8737,15.0988
"Gaia DR3 6518076316215261568",336.27437822026934,-47.88254046859564,66.7144132277478,0.030190406,806.68787,488.02775341966964,-642.3194198113408,1.0220927,11.2144985,12.75409,10.002409,3222.6016,3134.0085,3225.5308,4.7629,4.1931,4.7845,-0.0393,-0.9612,-0.0044,14.9544,14.8262,15.2134
"Gaia DR3 1138963758544545280",123.42723031947163,79.30137045178125,66.71536126267922,0.016824841,537.98676,-350.8644781813407,-407.8282203385623,1.3124559,13.193779,15.087528,11.898415,3034.5415,3033.6106,3034.9165,5.084,5.0814,5.0844,-0.2297,-0.2312,-0.2196,14.9578,14.9498,15.0149
"Gaia DR3 1209281375431039104",233.82985454492587,17.71229222349208,66.87752433502216,0.029177222,1222.2137,-1211.1074195888914,-164.39397175786522,1.4554548,11.349645,12.657914,10.218404,3187.4963,3184.619,3202.47,4.4078,4.3998,4.443,-0.8665,-0.877,-0.8177,14.9811,14.9634,15.213
"Gaia DR3 3850237416912716928",149.7346148256968,5.966340551968416,66.48567490057262,0.023153808,193.33531,-180.66564657557555,-68.83650702286903,1.2224141,13.076926,14.934433,11.792034,3048.4922,3048.129,3048.8438,5.0719,5.0715,5.0722,-0.2042,-0.2057,-0.2027,14.9923,14.9853,14.9988
"Gaia DR3 4581486217883307008",266.5175653572068,24.65362657689869,66.60487036725706,0.022768412,629.2115,-371.227043986259,508.03306077456926,1.3960376,11.548417,12.965706,10.376662,3212.4749,3157.8262,3242.9343,4.7011,4.5513,4.7727,-0.4208,-0.6194,-0.3318,15.0094,14.8126,15.0673
"Gaia DR3 1159745146784043264",225.33415504486476,5.546794272660181,66.54279042104358,0.031414766,450.42993,83.4653667188366,-442.62926474745905,1.3562928,11.074745,12.492638,9.904657,3189.273,3101.603,3292.9077,4.4734,4.1828,4.7155,-0.4962,-0.8284,-0.214,15.0358,14.9034,15.1473
"Gaia DR3 2467242352575094784",25.994623558557567,-6.913531290688611,66.47497274909824,0.02551531,81.80454,66.22872641353153,48.018113923719724,1.0730139,11.452647,12.81073,10.300775,3132.1082,3130.9045,3142.8835,4.3331,4.3279,4.3888,-0.8959,-0.9016,-0.8316,15.0507,14.9487,15.0672
"Gaia DR3 4975284381908412672",11.441179788312354,-47.551632903583055,66.45087121691725,0.044648718,199.91307,183.63534790636857,79.01452166151157,0.9613509,5.6450467,5.9564695,5.1476946,5693.858,5692.848,5694.843,4.4057,4.4047,4.4064,-0.4342,-0.442,-0.4267,15.0523,15.0387,15.0744
"Gaia DR3 2918040883015489408",90.59401922772396,-20.326460953037238,66.51628734702223,0.019483881,556.6209,-45.16327931560421,554.7856540451677,1.3173331,12.019874,13.520663,10.817629,3243.2441,3240.256,3257.0276,4.9975,4.9752,5.0069,-0.2239,-0.233,-0.1991,15.0559,14.9091,15.8684
"Gaia DR3 6366571314402539008",304.05133275745055,-75.51775999531469,66.23240646944261,0.021356624,254.5578,251.73781585519427,37.78556032868542,1.1439649,13.867133,16.057253,12.515311,2925.7554,2919.8074,2926.8044,5.13,5.1123,5.1321,-0.2661,-0.2753,-0.1955,15.0699,15.035,15.5191
"Gaia DR3 3015684005638599168",84.00082080161667,-7.64749055072158,66.44258656057254,0.024265094,479.4552,110.24664772644473,466.6079341999858,1.2798513,11.476436,13.080373,10.248026,3014.3997,3014.0505,3014.81,4.2193,4.2179,4.2208,-0.6937,-0.6954,-0.6917,15.081,15.074,15.091
"Gaia DR3 5885471411757745408",233.210796062217,-54.174830394098876,65.98643108705046,0.02999372,206.7531,168.9547803354019,-119.16846553564005,1.2890154,11.606108,13.165671,10.389735,3032.2236,3015.6013,3117.5283,4.2844,4.2255,4.5628,-0.7272,-0.7888,-0.3786,15.0838,14.983,15.187
"Gaia DR3 892348454394856064",113.65497694202988,31.869063238548993,66.31097257722519,0.023832008,223.54689,-201.40563872678518,-96.9998978845338,1.006226,8.296116,9.256296,7.3245015,3680.8228,3633.2065,3734.9553,4.2517,4.1797,4.3172,-0.3963,-0.489,-0.2797,15.0876,15.0243,15.1409
"Gaia DR3 3127503620545728128",100.54682814138062,3.5801351731802407,65.97550941370541,0.030058285,261.93695,41.80124142777393,-258.58000388175276,1.0577447,10.898388,12.293688,9.730826,3116.873,3102.7441,3214.426,4.1823,4.1091,4.4883,-0.7595,-0.8439,-0.3976,15.1299,14.9344,15.2244
