designation,ra,dec,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper
Gaia DR3 2079782151537655936,295.7811283223324,45.303768599102675,48.93585729366994,0.026374819,289.92606,120.65425928759646,263.6278927730243,1.0523232,14.918887,17.301605,13.532185,,,,,,,,,,,,
Gaia DR3 4414858219987352320,230.39311057321356,-2.284098440295585,48.94392454493806,0.023554584,288.88364,33.38333845162414,-286.94825199113166,1.4570916,10.4955,11.59722,9.455363,3623.0784,3619.647,3628.385,4.7364,4.729,4.7427,-0.1035,-0.1397,-0.0474,20.3596,20.3205,20.5898
Gaia DR3 5767542123866994304,261.61218252574423,-84.55396223302083,48.94693762955947,0.021916611,514.8138,355.38941445535045,-372.4669346832596,1.4303938,12.88162,14.536516,11.642692,,,,,,,,,,,,
Gaia DR3 968319107238317696,95.96333845639192,45.66666338604626,48.94863383479167,0.35464376,282.93378,-30.043643447533476,-281.33415758172214,2.1510653,14.050097,15.785964,12.416458,,,,,,,,,,,,
Gaia DR3 4781833626056162688,64.00732824955732,-51.485829399691184,48.94939680185749,0.16885135,209.81648,100.50178325844524,184.18020871545048,2.0077467,4.1875706,4.3386145,3.8836932,7150.176,7147.8286,7152.4253,4.0938,4.0911,4.0967,-0.4142,-0.4211,-0.4076,20.4509,20.3731,20.5225
Gaia DR3 585132295569511168,135.58562889922385,8.46757463457545,48.955846145274364,0.023083828,651.46387,618.584127551755,-204.34982266105618,1.177638,10.721801,11.985815,9.600606,3236.4534,3235.5261,3241.9233,4.1021,4.0987,4.1219,-0.7507,-0.7543,-0.7254,20.4622,20.4421,20.5127
Gaia DR3 3864311616720496640,163.77314368000918,5.995533460994493,48.9612430401155,0.028040633,44.32987,-3.6615010436694253,44.17839717490039,1.1146005,11.776866,13.241561,10.590096,,,,,,,,,,,,
Gaia DR3 2962193318618221056,79.69597282442622,-21.393921105554117,48.96547579780371,0.014194523,141.9297,-137.03457956608858,-36.953536085376264,1.0536528,8.8545265,9.607202,8.0116,4149.8276,4147.557,4150.256,4.5682,4.5629,4.569,-0.0024,-0.019,-2.0E-4,20.4021,20.3861,20.5166
Gaia DR3 3714667225186824064,203.59027749888457,4.666852005309289,48.96781334938085,0.025685562,197.23502,153.85629996953656,-123.40945397031159,1.0985684,9.271817,10.154813,8.347394,,,,,,,,,,,,
Gaia DR3 3155195714240292736,109.6744538769276,8.499886587847731,48.971379167139354,0.020839373,121.950294,-32.62692045497248,-117.50471961153976,1.2769709,12.600092,14.049105,11.424095,,,,,,,,,,,,
Gaia DR3 2664368290465455232,349.036059612254,6.74228226888577,48.97560660932991,0.025742408,304.89362,173.64242982733933,-250.61607964670657,1.0742733,11.993704,13.442182,10.811508,,,,,,,,,,,,
Gaia DR3 1686890393104529920,203.38864487019458,70.49488177939115,48.97868778334933,0.018343236,132.93164,-130.8154369302832,23.62506125183296,1.3430412,12.04578,13.555206,10.844992,,,,,,,,,,,,
Gaia DR3 2962193318618003584,79.69741566123787,-21.39366198032197,49.00804338623494,0.036523934,145.50801,-138.79842710091904,-43.67580973436567,1.5663851,11.296048,12.792332,10.068562,,,,,,,,,,,,
Gaia DR3 5332656412938844288,175.62312499017017,-64.67668975253505,49.00837898724288,0.016908074,206.52983,-156.2782955001971,-135.02468225849384,1.1620548,13.55951,15.418905,12.272147,3051.0505,3050.1729,3052.7861,5.0397,5.0343,5.0408,-0.0943,-0.0979,-0.0784,20.369,20.3358,20.6839
Gaia DR3 5977390652584004480,257.0602472265321,-34.61001649232861,49.01029301118463,0.103409685,880.2324,-264.4197552114143,-839.5780813412155,3.379588,14.252826,16.295116,12.894883,,,,,,,,,,,,
Gaia DR3 167666112966483456,61.02736021185975,30.711971411948653,49.01189924004159,0.026950195,384.10522,350.4719269062157,-157.182235043801,1.2824162,11.77954,12.978387,10.687608,,,,,,,,,,,,
Gaia DR3 976893923544104576,112.4839174979886,49.672091036241135,49.01447010490516,0.14062554,138.56853,111.04697948837028,-82.8842809292091,1.4858402,5.2239323,5.47068,4.8283567,6266.647,6265.1196,6267.9507,4.1968,4.1946,4.1988,-0.9636,-0.9822,-0.9374,20.4236,20.3609,20.4962
