HR,Name,HD,HD_Suffix,V,B_V,SpType
HR 3909,8Gam Sex,HD 85558,\N,5.05,0.04,A1V
HR 5842,21Iot Ser,HD 140159,\N,4.52,0.04,A1V
HR 6027,14Nu  Sco,HD 145502,\N,4.01,0.04,B3V
HR 6435,\N,HD 156717,\N,6.02,0.04,A2Vnn
HR 7048,\N,HD 173495,\N,5.83,0.04,A1V+A1V
HR 887,48Eps Ari,HD 18519,\N,4.63,0.04,A2V s
HR 2088,34Bet Aur,HD 40183,\N,1.90,0.03,A2IV
HR 2891,66Alp Gem,HD 60179,\N,1.98,0.03,A1V
HR 3894,30Phi UMa,HD 85235,\N,4.59,0.03,A3IV
HR 4628,\N,HD 105686,\N,6.17,0.03,A0V
HR 1033,\N,HD 21203,\N,6.49,0.02,B9V+A1
HR 7717,\N,HD 191984,\N,6.27,0.02,B9pCrEu:Sr:
HR 3164,\N,HD 66684,\N,6.21,0.01,A0V
HR 3825,\N,HD 83183,\N,4.08,0.01,B5II
HR 4422,57    UMa,HD 99787,\N,5.31,0.01,A2V
HR 6029,12    Sco,HD 145483,\N,5.67,0.01,B9V
HR 6097,\N,HD 147553,\N,6.47,0.01,A0V+A0V
HR 6149,10Lam Oph,HD 148857,\N,3.82,0.01,A0V+A4V
HR 6683,\N,HD 163433,\N,6.29,0.01,A0IV-V
HR 2421,24Gam Gem,HD 47105,\N,1.93,0.00,A0IV
HR 2491,9Alp CMa,HD 48915,\N,-1.46,0.00,A1Vm
HR 3443,\N,HD 74148,\N,6.36,0.00,A0V
HR 3542,\N,HD 76230,\N,6.39,0.00,A0V
HR 3594,12Kap UMa,HD 77327,\N,3.60,0.00,A1Vn
HR 3685,Bet Car,HD 80007,\N,1.68,0.00,A2IV
HR 3715,\N,HD 80773,\N,6.82,0.00,B9.5V
HR 5846,\N,HD 140285,\N,5.94,0.00,A0V+B
HR 7001,3Alp Lyr,HD 172167,\N,0.03,0.00,A0Va
HR 7027,\N,HD 172881,\N,6.06,0.00,B9.5IV-V
HR 1271,\N,HD 25887,\N,6.41,-0.01,B9.5IV
HR 4347,Psi Crt,HD 97411,\N,6.13,-0.01,A0V
HR 7285,\N,HD 179588,\N,6.73,-0.01,B9IV
HR 7572,\N,HD 187961,\N,6.54,-0.01,B7V
HR 8107,\N,HD 201836,\N,6.46,-0.01,B6IV
HR 6291,24    Oph,HD 152849,\N,5.58,-0.02,A0V
HR 814,\N,HD 17098,\N,6.36,-0.02,B9V
HR 927,52    Ari,HD 19134,\N,6.80,-0.02,B7V
HR 983,\N,HD 20319,\N,6.17,-0.02,B9V
HR 1713,19Bet Ori,HD 34085,\N,0.12,-0.03,B8Ia:
HR 185,Lam1Scl,HD 4065,\N,6.06,-0.03,A0V
HR 6879,20Eps Sgr,HD 169022,\N,1.85,-0.03,B9.5III
HR 7528,18Del Cyg,HD 186882,\N,2.87,-0.03,B9.5IV+F1V
HR 7836,1    Del,HD 195325,\N,6.08,-0.03,A1eShell
HR 8407,\N,HD 209515,\N,5.60,-0.03,A0IV
HR 1821,118    Tau,HD 35943,\N,5.47,-0.04,B8.5V
HR 2950,\N,HD 61563,\N,6.02,-0.04,A0III
HR 3971,\N,HD 87543,\N,6.14,-0.04,B7IVne
HR 5559,\N,HD 131657,\N,5.64,-0.04,B9V
HR 7737,\N,HD 192659,\N,6.71,-0.04,B9IV-V
HR 5141,\N,HD 118991,\N,5.01,-0.05,B8Vn
